Formula,found_mz,theoretical_mz,found_intensity,theoretical_intensity,predicted_charge,mz_difference,charge,splitting_error
M9I8L1_Cnt9,555.1591,555.1593986804888,689600.0,0.006715311203151941,9,-0.11310000000003129,9,1.790000000028158
M9I7L3_Cnt8,538.1699,538.1737471659501,337700.0,0.007311258930712938,10,-0.10120000000006257,10,1.2000000000625732
M9I6L1_Cnt10,560.1368,560.133241412775,1058000.0,0.007265957538038492,8,-0.12400000000002365,8,0.7999999999810825
M9I4L4_Cnt10,640.1724,640.16918304835,535900.0,0.00654229149222374,8,-0.12149999999996908,8,2.8000000000247383
M9I3L7_Cnt9,660.2029,660.2069819652778,516000.0,0.005765056237578392,9,-0.11210000000005493,9,0.8900000000494401
M9I3L5_Cnt9,564.048,564.0496659062555,2315000.0,0.007329938933253288,9,-0.11400000000003274,9,2.6000000000294676
M9I3L3_Cnt10,545.1274,545.1233161268875,370100.0,0.007022664416581392,8,-0.12229999999999563,8,2.1600000000034925
M9I2L4_Cnt10,558.1245,558.128023021825,487900.0,0.008433320559561253,8,-0.12369999999998527,8,1.040000000011787
M9I2L3_Cnt11,597.5436,597.5390456855714,365100.0,0.006378566846251488,7,-0.1387000000000853,7,2.9099999999402826
M8I7L1_Cnt9,657.1898,657.1927213597571,509400.0,0.008561838418245316,7,-0.14549999999997,7,1.8499999999789907
M8I4L5_Cnt7,560.0852,560.0863995536,867500.0,0.007889661937952042,9,-0.11360000000001946,9,2.240000000017517
M8I3L6_Cnt8,662.0994,662.0969275664875,952900.0,0.006850456353276968,8,-0.12350000000003547,8,1.1999999999716238
M8I3L4_Cnt8,554.1723,554.1697983750876,342700.0,0.009230469353497028,8,-0.12330000000008567,8,1.3599999999314605
M8I2L7_Cnt8,675.2241,675.227053836425,354500.0,0.006980445235967636,8,-0.12469999999996162,8,0.24000000003070454
M8I2L3_Cnt9,545.1376,545.1344380027143,477300.0,0.01209089532494545,7,-0.14269999999999072,7,0.11000000000649379
M8I1L4_Cnt9,560.1368,560.1400221683572,1058000.0,0.011251998133957386,7,-0.14459999999996853,7,1.219999999977972
M8I0L8_Cnt9,760.2349,760.234920519257,446300.0,0.008027194067835808,7,-0.14439999999990505,7,1.0799999999335341
M8I0L6_Cnt8,538.1597,538.1599604642,440400.0,0.010552223771810532,8,-0.12149999999996908,8,2.8000000000247383
M7I4L4_Cnt7,649.6595,649.6632070309714,372700.0,0.009797855280339718,7,-0.14459999999996853,7,1.219999999977972
M7I4L4_Cnt4,410.0797,410.07863730468,6070000.0,0.011720454320311546,10,-0.09719999999998663,10,2.8000000000133696
M7I3L5_Cnt6,562.0908,562.0919359982875,408400.0,0.008691003546118736,8,-0.12409999999999854,8,0.7200000000011642
M6I1L2_Cnt6,413.6402,413.64253607955,2878000.0,0.01616940274834633,6,-0.16870000000000118,6,1.2200000000007094
M6I1L2_Cnt6,413.4716,413.4753102462167,740900.0,0.018687371164560318,6,-0.16859999999996944,6,1.1599999999816646
M6I1L2_Cnt6,412.4782,412.4762249128834,351400.0,0.018029935657978058,6,-0.16849999999999454,6,1.0999999999967258
