Formula,found_mz,theoretical_mz,found_intensity,theoretical_intensity,predicted_charge,mz_difference,charge,splitting_error
M9I1L9_Cnt3,463.1288,463.1252289409533,80630000.0,0.0038302019238471985,15,-0.06569999999999254,15,1.4500000000111868
M9I1L9_Cnt3,462.7907,462.7919585409534,166000000.0,0.003733651479706168,15,-0.06569999999999254,15,1.4500000000111868
M8I3L5_Cnt4,462.4528,462.44919215740833,237700000.0,0.0049714320339262486,12,-0.08449999999999136,12,1.3999999999896318
M8I2L7_Cnt3,474.8957,474.8971410047385,138800000.0,0.005290255416184664,13,-0.07609999999999673,13,1.0700000000042564
M8I2L7_Cnt3,474.8196,474.8205674662769,1370000.0,0.0051509905606508255,13,-0.07609999999999673,13,1.0700000000042564
M8I2L7_Cnt3,474.7436,474.74338631243086,1314000.0,0.0052479337900877,13,-0.07599999999996498,13,1.2000000000455202
M8I2L7_Cnt3,474.6675,474.66696054320005,13350000.0,0.0053869388066232204,13,-0.07609999999999673,13,1.0700000000042564
M8I2L7_Cnt3,474.5914,474.5897793893539,1453000.0,0.0054883225820958614,13,-0.07609999999999673,13,1.0700000000042564
M7I6L0_Cnt5,452.2052,452.20785139642226,1629000.0,0.005441676359623671,9,-0.11140000000000327,9,0.26000000000294676
M7I5L1_Cnt5,461.7679,461.7672072959445,2748000.0,0.008093569427728653,9,-0.11259999999998627,9,1.33999999998764
M7I3L2_Cnt6,475.086,475.0888495972375,1511000.0,0.005697257816791534,8,-0.12360000000001037,8,1.1199999999917054
M7I3L2_Cnt6,474.9623,474.96343022223743,1719000.0,0.0055157775059342384,8,-0.12369999999998527,8,1.040000000011787
M6I3L3_Cnt3,455.1147,455.11288823276664,2308000.0,0.009175321087241173,9,-0.11169999999998481,9,0.5299999999863303
M5I5L0_Cnt3,461.9742,461.97009299235714,1999000.0,0.011247790418565273,7,-0.14080000000001291,7,1.4399999999909596
M5I4L1_Cnt3,474.8292,474.8305097203143,2394000.0,0.015048792585730553,7,-0.14259999999995898,7,0.18000000002871275
M4I3L1_Cnt5,966.5583,966.5571806469667,1570000.0,0.012506170198321342,3,-0.3392999999999802,3,1.789999999994052
M4I3L1_Cnt5,966.2192,966.2227289803001,1221000.0,0.015520734712481499,3,-0.3391000000000304,3,1.7300000000091131
M2I3L0_Cnt1,602.8468,602.8478534879667,12130000.0,0.02896147035062313,3,-0.33219999999994343,3,0.34000000001697117
M2I3L0_Cnt1,602.5146,602.5134018213,15040000.0,0.050050802528858185,3,-0.3322000000000571,3,0.3399999999828651
M2I3L0_Cnt1,602.1826,602.1815831546334,12740000.0,0.04309467226266861,3,-0.33199999999999363,3,0.40000000000190994
M2I3L0_Cnt1,601.8506,601.8471314879667,12840000.0,0.07447560131549835,3,-0.33199999999999363,3,0.40000000000190994
M2I3L0_Cnt1,601.5188,601.5159531546334,7889000.0,0.03755723685026169,3,-0.33179999999993015,3,0.46000000002095476
M2I3L0_Cnt0,430.3869,430.385160645975,7660000.0,0.03615664318203926,4,-0.24449999999995953,4,2.200000000016189
M2I3L0_Cnt0,430.1335,430.134321895975,10590000.0,0.06248539686203003,4,-0.2533999999999992,4,1.3599999999996726
M2I3L0_Cnt0,429.8891,429.88545789597504,10930000.0,0.05380108952522278,4,-0.24440000000004147,4,2.239999999983411
M2I3L0_Cnt0,429.6358,429.634619145975,10160000.0,0.09297827631235123,4,-0.24430000000000973,4,2.2799999999961074
M2I3L0_Cnt0,429.3825,429.383780395975,10110000.0,0.07959796488285065,4,-0.2533000000000243,4,1.3200000000097134
M2I3L0_Cnt0,429.1384,429.135396645975,6136000.0,0.08103106170892715,4,-0.2441000000000031,4,2.359999999998763
M2I3L0_Cnt0,428.8853,428.88455789597504,5117000.0,0.06937004625797272,4,-0.25310000000001764,4,1.2400000000070577
M2I2L1_Cnt1,632.521,632.5233698532,9544000.0,0.03014487586915493,3,-0.32929999999998927,3,1.2100000000032196
M2I2L1_Cnt1,632.1918,632.1889181865333,12780000.0,0.049329791218042374,3,-0.32920000000001437,3,1.239999999995689
M2I2L1_Cnt1,631.8626,631.8570995198667,11010000.0,0.04485557973384857,3,-0.3291999999999007,3,1.240000000029795
M2I2L1_Cnt1,631.5226,631.5226478532,9275000.0,0.07340273261070251,3,-0.32910000000003947,3,1.2699999999881584
M2I2L1_Cnt1,631.1936,631.1881961865333,6452000.0,0.059532154351472855,3,-0.3290000000000646,3,1.2999999999806278
M2I2L1_Cnt1,630.8538,630.8570178532,3776000.0,0.06397087126970291,3,-0.3288000000000011,3,1.3599999999996726
M2I2L1_Cnt0,452.6415,452.6417979199,79810000.0,0.03763405233621597,4,-0.2506999999999948,4,0.27999999999792635
M2I2L1_Cnt0,452.3908,452.3909591699,100800000.0,0.061585258692502975,4,-0.2506999999999948,4,0.27999999999792635
M2I2L1_Cnt0,452.1402,452.1420951699,114900000.0,0.05599947273731232,4,-0.2506000000000199,4,0.24000000000796717
M2I2L1_Cnt0,451.8897,451.8912564199,90000000.0,0.09163887053728104,4,-0.2504999999999882,4,0.19999999999527063
M2I2L1_Cnt0,451.6393,451.6404176699,86740000.0,0.07432229071855545,4,-0.2504000000000133,4,0.16000000000531145
M2I2L1_Cnt0,451.3889,451.3920339199,50270000.0,0.0798637643456459,4,-0.2504000000000133,4,0.16000000000531145
M2I2L1_Cnt0,451.1385,451.1411951699,37890000.0,0.06477227061986923,4,-0.25039999999995644,4,0.15999999998257408
M2I2L0_Cnt1,426.4394,426.4356982008667,3229000.0,0.03699789196252823,3,-0.333500000000015,3,0.050000000004502
M2I2L0_Cnt1,426.106,426.1045198675333,2568000.0,0.05021868273615837,3,-0.33339999999998327,3,0.01999999999497959
M2I2L0_Cnt1,425.7728,425.77006820086666,2806000.0,0.06448771804571152,3,-0.3331999999999766,3,0.040000000007012204
