Formula,found_mz,theoretical_mz,found_intensity,theoretical_intensity,predicted_charge,mz_difference,charge,splitting_error
M9I2L6_Cnt9,513.2156,513.2167926362,5012000.0,0.0034604044631123543,9,-0.1087999999999738,9,2.080000000023574
M3I2L1_Cnt3,515.1157,515.1114692059334,3538000.0,0.025013040751218796,3,-0.3269000000000233,3,1.929999999993015
M2I0L2_Cnt3,1252.2874,1252.2831691712,2576000.0,0.04821142181754112,1,-0.9885000000001583,1,1.1499999999841748
M2I0L2_Cnt2,584.6413,584.6384321456001,7363000.0,0.054119665175676346,2,-0.4960999999999558,2,0.7800000000088403
M2I0L2_Cnt2,584.1349,584.1367546456,12800000.0,0.09266283363103867,2,-0.5063999999999851,2,1.2799999999970169
M2I0L2_Cnt2,583.6393,583.6399871456001,19850000.0,0.04716557636857033,2,-0.4955999999999676,2,0.8800000000064756
M2I0L2_Cnt2,583.1438,583.1383096456,36100000.0,0.08075615018606186,2,-0.4954999999999927,2,0.9000000000014552
M2I0L2_Cnt2,582.6381,582.6401256455999,27760000.0,0.040126025676727295,2,-0.49519999999995434,2,0.9600000000091313
M1I2L0_Cnt0,362.6294,362.6287416061,2838000.0,0.0753236785531044,2,-0.498800000000017,2,0.2399999999965985
M1I2L0_Cnt0,361.1267,361.1286191061,9247000.0,0.30347001552581787,2,-0.5060999999999467,2,1.2199999999893407
M1I1L1_Cnt0,413.6491,413.64816368585,2582000.0,0.16079072654247284,2,-0.49720000000002074,2,0.5599999999958527
M1I1L1_Cnt0,413.1522,413.15139618585005,3141000.0,0.14246712625026703,2,-0.49689999999998236,2,0.6200000000035288
M1I1L1_Cnt0,412.6467,412.64971868585,3604000.0,0.2802599370479584,2,-0.5054999999999836,2,1.0999999999967258
M1I0L1_Cnt1,584.1454,584.1416646456,14580000.0,0.08298648148775101,1,-0.9919999999999618,1,0.8000000000038199
M1I0L1_Cnt1,583.1438,583.1383096456,36100000.0,0.2841762602329254,1,-0.9910999999999603,1,0.8900000000039654
M1I0L1_Cnt1,582.1431,582.1419416455999,36580000.0,0.07060059905052185,1,-0.9901999999999589,1,0.9800000000041109
M10I1L9_Cnt9,514.1257,514.1212750378637,91530000.0,0.002941554645076394,11,-0.08899999999994179,11,2.1000000000640284
M10I11L0_Cnt10,514.2147,514.21243064671,4858000.0,0.0029013329185545444,10,-0.09900000000004638,10,0.9999999999536158
