Formula,found_mz,theoretical_mz,found_intensity,theoretical_intensity,predicted_charge,mz_difference,charge,splitting_error
M9I3L7_Cnt5,382.0474,382.0483714926847,2506000.0,0.008606058545410633,13,-0.07670000000001664,13,0.2899999999783631
M7I0L4_Cnt8,534.622,534.6244819028001,1455000.0,0.015811581164598465,6,-0.1716000000000122,6,2.9600000000073123
M3I1L3_Cnt2,491.8207,491.82367799527503,920200.0,0.04592334106564522,4,-0.251700000000028,4,0.680000000011205
M3I1L3_Cnt2,490.8243,490.824752745275,2505000.0,0.05955338850617409,4,-0.25139999999998963,4,0.5599999999958527
M3I1L3_Cnt2,490.5729,490.576368995275,2193000.0,0.03442935273051262,4,-0.25139999999998963,4,0.5599999999958527
M1I2L0_Cnt0,334.093,334.0957639785,6145000.0,0.18192951381206512,2,-0.5027999999999793,2,0.5599999999958527
M1I2L0_Cnt0,333.5986,333.5989964785,4190000.0,0.1234700083732605,2,-0.4944000000000415,2,1.1199999999917054
M1I2L0_Cnt0,333.0966,333.09731897849997,11040000.0,0.31710508465766907,2,-0.5019999999999527,2,0.39999999999054126
M1I1L1_Cnt0,379.6115,379.60844402635,1995000.0,0.11416088789701462,2,-0.5019000000000347,2,0.38000000000693035
M1I1L1_Cnt0,379.11,379.11071602635,1829000.0,0.077165886759758,2,-0.5014999999999645,2,0.29999999999290594
M1I1L1_Cnt0,378.6173,378.61394852635,2216000.0,0.029821882024407387,2,-0.49270000000001346,2,1.459999999997308
M10I11L0_Cnt11,623.0296,623.0240096170555,1160000.0,0.004372753202915192,9,-0.10890000000006239,9,1.9899999999438478
M0I1L0_Cnt0,365.0602,365.0618924785,764500.0,0.39269351959228516,1,-1.0013999999999896,1,0.13999999999896318
L+H,391.169,391.1671196061,9886000.0,0.7539050579071045,1,-1.0019000000000347,1,0.19000000000346517
I+H,302.1418,302.14057051040004,78520000.0,0.8074200749397278,1,-1.0022000000000162,1,0.2200000000016189
