Formula,found_mz,theoretical_mz,found_intensity,theoretical_intensity,predicted_charge,mz_difference,charge,splitting_error
M9I6L3_Cnt9,515.6647,515.6653672059333,1085000.0,0.003758518723770976,9,-0.1089999999999236,9,1.9000000000687578
M3I3L0_Cnt3,482.0945,482.09364081943323,770300.0,0.038670144975185394,3,-0.3353999999999928,3,0.6199999999978445
M3I3L0_Cnt3,481.7591,481.7615181527667,699800.0,0.028821570798754692,3,-0.3353999999999928,3,0.6199999999978445
M3I3L0_Cnt3,481.4238,481.42801081943327,564000.0,0.03370123729109764,3,-0.3352999999999611,3,0.5899999999883221
M3I3L0_Cnt3,481.0983,481.09619215276666,1299000.0,0.032542869448661804,3,-0.32550000000003365,3,2.3499999999899046
M3I3L0_Cnt3,480.7633,480.7617404861,770900.0,0.050147444009780884,3,-0.33499999999997954,3,0.4999999999938609
M3I3L0_Cnt3,480.4284,480.42961781943336,860500.0,0.037375811487436295,3,-0.33490000000000464,3,0.4700000000013915
M3I3L0_Cnt3,480.0936,480.0961104860999,676000.0,0.029135843738913536,3,-0.33480000000002974,3,0.44000000000892214
M3I2L1_Cnt3,515.7737,515.7754105392665,321800.0,0.03112369403243065,3,-0.33710000000007767,3,1.1300000000233013
M3I2L1_Cnt3,515.4467,515.4435918726,324000.0,0.03356020897626877,3,-0.3269999999999982,3,1.9000000000005457
M3I2L1_Cnt3,515.1098,515.1091402059333,1094000.0,0.046312056481838226,3,-0.3369000000000142,3,1.0700000000042564
M2I3L0_Cnt2,644.6816,644.6781332891501,294400.0,0.07479814440011978,2,-0.49879999999996016,2,0.24000000000796717
M2I3L0_Cnt2,644.183,644.17994928915,391600.0,0.03716561943292618,2,-0.49860000000001037,2,0.27999999999792635
M2I2L1_Cnt2,697.7049,697.6993553689,464200.0,0.05743764340877533,2,-0.4958000000000311,2,0.8399999999937791
M2I2L1_Cnt2,697.1977,697.1976778689,783200.0,0.07926218211650848,2,-0.4956999999999425,2,0.860000000011496
M2I2L1_Cnt2,696.7022,696.7009103688999,960600.0,0.05005721375346184,2,-0.4955000000001064,2,0.8999999999787178
M2I2L1_Cnt2,696.1954,696.1992328689,1344000.0,0.06907741725444794,2,-0.5067999999999984,2,1.3599999999996726
M2I2L1_Cnt2,695.7003,695.7010488689,1220000.0,0.034323111176490784,2,-0.49509999999997945,2,0.9800000000041109
M2I0L2_Cnt3,1252.2906,1252.2831691712,257600.0,0.04821142181754112,1,-0.9887999999998556,1,1.1200000000144428
M2I0L2_Cnt2,585.6346,585.6378376456,1846000.0,0.036370739340782166,2,-0.49660000000005766,2,0.6799999999884676
M2I0L2_Cnt2,585.1383,585.1361601456,5018000.0,0.062273405492305756,2,-0.4963000000000193,2,0.7399999999961437
M2I0L2_Cnt2,584.6422,584.6384321456001,7948000.0,0.054119665175676346,2,-0.4960999999999558,2,0.7800000000088403
M2I0L2_Cnt2,584.1357,584.1367546456,12600000.0,0.09266283363103867,2,-0.50649999999996,2,1.2999999999919964
M2I0L2_Cnt2,583.64,583.6399871456001,18900000.0,0.04716557636857033,2,-0.4957000000000562,2,0.8599999999887586
M2I0L2_Cnt2,583.134,583.1383096456,22440000.0,0.08075615018606186,2,-0.5059999999999718,2,1.1999999999943611
M2I0L2_Cnt2,582.6387,582.6401256455999,24550000.0,0.040126025676727295,2,-0.49530000000004293,2,0.9399999999914144
M1I1L0_Cnt1,482.0945,482.0930004861,770300.0,0.17653974890708923,1,-0.9971000000000458,1,0.28999999999541615
M1I1L0_Cnt1,481.0983,481.09946548610003,1299000.0,0.06656229496002197,1,-0.9961999999999875,1,0.380000000001246
M1I1L0_Cnt1,480.0936,480.0961104861,676000.0,0.3077106475830078,1,-1.004700000000014,1,0.4700000000013915
M1I1L0_Cnt1,479.0995,479.0997424861,361800.0,0.07644746452569962,1,-0.9941000000000031,1,0.5899999999996908
M1I0L1_Cnt1,587.1355,587.1340106456,295600.0,0.1095682680606842,1,-1.0050999999999704,1,0.509999999997035
M1I0L1_Cnt1,586.1417,586.1385546455999,1103000.0,0.04761100187897682,1,-0.9937999999999647,1,0.6200000000035288
M1I0L1_Cnt1,585.1383,585.1351996456,5018000.0,0.16303759813308716,1,-1.003400000000056,1,0.3400000000056025
M1I0L1_Cnt1,584.1462,584.1416646456,14400000.0,0.08298648148775101,1,-0.9920999999999367,1,0.7900000000063301
M1I0L1_Cnt1,583.134,583.1383096456,22440000.0,0.2841762602329254,1,-1.001700000000028,1,0.17000000000280124
M1I0L1_Cnt1,582.1437,582.1419416455999,32840000.0,0.07060059905052185,1,-0.9903000000000475,1,0.9699999999952524
M11I9L1_Cnt12,515.6944,515.69278677805,254300.0,0.0022324316669255495,10,-0.09910000000002128,10,0.8999999999787178
M11I4L7_Cnt11,547.1236,547.1223223148728,4640000.0,0.002143800025805831,11,-0.09190000000000964,11,1.0900000000106047
M11I2L10_Cnt10,547.6342,547.6360828056833,13370000.0,0.0017981603741645813,12,-0.08170000000006894,12,1.9599999999172724
M10I5L6_Cnt9,515.6746,515.6701945949181,312800.0,0.002547022420912981,11,-0.08919999999989159,11,1.880000000119253
M10I1L9_Cnt9,514.1196,514.1212750378637,6316000.0,0.002941554645076394,11,-0.08910000000003038,11,1.9899999999665852
M10I11L0_Cnt10,514.1097,514.1121863467099,819000.0,0.002574400743469596,10,-0.09900000000004638,10,0.9999999999536158
I+H,330.1745,330.171870638,2017000.0,0.7898703813552856,1,-1.0,1,0.0
