Formula,found_mz,theoretical_mz,found_intensity,theoretical_intensity,predicted_charge,mz_difference,charge,splitting_error
Triamine+H,352.1843,352.1813727018,9375000.0,0.7620269060134888,1,-0.9998999999999683,1,0.010000000003174137
M9I2L5_Cnt6,557.2382,557.2392909499833,9866000.0,0.00439538573846221,12,-0.08240000000000691,12,1.1199999999917054
M8I2L3_Cnt5,456.1301,456.1296093929999,1150000.0,0.006951897405087948,11,-0.09319999999996753,11,2.519999999964284
M6I3L3_Cnt3,543.1118,543.1106713057667,1820000.0,0.010037664324045181,9,-0.11180000000001655,9,0.6200000000148975
M2I2L0_Cnt1,509.4261,509.4280239192667,2268000.0,0.03846735879778862,3,-0.33499999999997954,3,0.4999999999938609
M2I2L0_Cnt1,509.1011,509.09684558593335,2617000.0,0.056564345955848694,3,-0.3250000000000455,3,2.4999999999863576
M2I2L0_Cnt1,508.7663,508.7623939192667,3657000.0,0.06704901158809662,3,-0.3347999999999729,3,0.4399999999918691
M2I2L0_Cnt1,508.4317,508.4305752526,2783000.0,0.08416775614023209,3,-0.3346000000000231,3,0.38000000000693035
M2I2L0_Cnt1,508.0972,508.09612358593336,3456000.0,0.09976893663406372,3,-0.33449999999999136,3,0.34999999999740794
M2I2L0_Cnt1,507.7628,507.76494525260006,1776000.0,0.0733526423573494,3,-0.3343999999999596,3,0.31999999998788553
M2I2L0_Cnt1,507.4284,507.43049358593333,1996000.0,0.08694916218519211,3,-0.33440000000001646,3,0.32000000000493856
M2I2L0_Cnt0,311.8452,311.84331049445,4177000.0,0.06333247572183609,4,-0.24670000000003256,4,1.319999999986976
M2I2L0_Cnt0,311.5909,311.59247174445,6601000.0,0.07704723626375198,4,-0.25430000000000064,4,1.7200000000002547
M2I2L0_Cnt0,311.3445,311.34360774445,4456000.0,0.09423872828483582,4,-0.24639999999999418,4,1.4400000000023283
M2I2L0_Cnt0,311.0981,311.09522399444995,4619000.0,0.0333109088242054,4,-0.24639999999999418,4,1.4400000000023283
M2I2L0_Cnt0,310.8441,310.84438524445,2958000.0,0.08212955296039581,4,-0.24629999999996244,4,1.4800000000150249
M2I1L1_Cnt1,543.4474,543.4442453057667,1389000.0,0.05692622438073158,3,-0.32569999999998345,3,2.290000000004966
M2I1L1_Cnt1,543.1118,543.1097936391,1820000.0,0.061920955777168274,3,-0.33559999999999945,3,0.6799999999998363
M2I1L1_Cnt1,542.7761,542.7779749724333,1378000.0,0.08470622450113297,3,-0.33569999999997435,3,0.7099999999923057
M2I1L1_Cnt1,542.4509,542.4467966391,1359000.0,0.03353439271450043,3,-0.32519999999999527,3,2.440000000001419
M2I1L1_Cnt1,542.1155,542.1123449724333,927100.0,0.07382192462682724,3,-0.32519999999999527,3,2.440000000001419
M2I1L1_Cnt1,541.7802,541.7778933057666,905000.0,0.08029909431934357,3,-0.3352999999999611,3,0.5899999999883221
M2I1L1_Cnt0,337.6041,337.603860284325,1647000.0,0.06387577950954437,4,-0.24869999999998527,4,0.5200000000058935
M2I1L1_Cnt0,337.3556,337.35302153432497,2044000.0,0.07115449756383896,4,-0.24850000000003547,4,0.5999999999858119
M2I1L1_Cnt0,337.1071,337.104157534325,1552000.0,0.09504716843366623,4,-0.24849999999997863,4,0.6000000000085493
M2I1L1_Cnt0,336.8588,336.85577378432504,1539000.0,0.03673236072063446,4,-0.24830000000002883,4,0.6799999999884676
M2I1L1_Cnt0,336.6025,336.60493503432497,1159000.0,0.08283410966396332,4,-0.248299999999972,4,0.680000000011205
M2I1L1_Cnt0,336.3543,336.354096284325,1021000.0,0.09227314591407776,4,-0.2481999999999971,4,0.7200000000011642
M1I2L0_Cnt0,591.7223,591.7220474889,3644000.0,0.06511667370796204,2,-0.49900000000002365,2,0.19999999999527063
M1I2L0_Cnt0,591.2234,591.2203699889001,6268000.0,0.0792178064584732,2,-0.49890000000004875,2,0.21999999999025022
M1I2L0_Cnt0,590.7247,590.7226419889,6289000.0,0.09689360857009888,2,-0.49869999999998527,2,0.26000000000294676
M1I2L0_Cnt0,590.2263,590.2209644889,9037000.0,0.11787610501050949,2,-0.4983999999999469,2,0.3200000000106229
M1I2L0_Cnt0,589.7281,589.7241969889001,7770000.0,0.16888660192489624,2,-0.4875999999999294,2,2.4800000000141154
M1I2L0_Cnt0,589.2195,589.2225194888999,9643000.0,0.20545929670333862,2,-0.5086000000000013,2,1.7200000000002547
M1I1L1_Cnt0,642.7479,642.74541906865,1552000.0,0.043335575610399246,2,-0.4979000000000724,2,0.41999999998552084
M1I1L1_Cnt0,642.2501,642.24374156865,1527000.0,0.09772482514381409,2,-0.48670000000004165,2,2.659999999991669
M1I1L1_Cnt0,641.7524,641.7469740686499,1916000.0,0.07553436607122421,2,-0.48660000000006676,2,2.6799999999866486
M1I1L1_Cnt0,641.244,641.24529656865,1895000.0,0.17033541202545166,2,-0.49739999999997053,2,0.5200000000058935
M1I1L1_Cnt0,640.7468,640.74361906865,1964000.0,0.18974532186985016,2,-0.49720000000002074,2,0.5599999999958527
M1I1L0_Cnt1,903.1046,903.1012777689,1525000.0,0.15781573951244354,1,-0.9969999999999573,1,0.3000000000042746
M1I1L0_Cnt1,902.1081,902.1077427688999,1175000.0,0.1190052479505539,1,-0.9964999999999691,1,0.3500000000030923
M1I1L0_Cnt1,901.1122,901.1043877689001,957700.0,0.2750745117664337,1,-0.995900000000006,1,0.40999999999939973
M1I1L0_Cnt0,312.0919,312.09366899444996,3641000.0,0.07453399151563644,2,-0.5013000000000147,2,0.26000000000294676
M1I1L0_Cnt0,311.5909,311.59199149445,6601000.0,0.18134893476963043,2,-0.5010000000000332,2,0.2000000000066393
M1I1L0_Cnt0,311.0981,311.09522399444995,4619000.0,0.1299135386943817,2,-0.49279999999998836,2,1.4400000000023283
M11I8L1_Cnt10,720.1414,720.1451750941334,2059000.0,0.0018168101087212563,12,-0.08199999999999363,12,1.6000000000076398
M11I7L2_Cnt10,728.6457,728.6492304407584,1399000.0,0.002080744132399559,12,-0.08240000000000691,12,1.1199999999917054
M11I4L4_Cnt8,559.2695,559.2702483420857,58280000.0,0.003133527236059308,14,-0.07230000000004111,14,1.2200000000575528
M10I6L4_Cnt7,661.2686,661.2659404605384,1056000.0,0.002634600503370166,13,-0.0786000000000513,13,2.180000000066684
M10I4L4_Cnt4,415.4529,415.449281604325,88190000.0,0.005206941626966,16,-0.06229999999999336,16,0.3200000000106229
M10I4L4_Cnt4,415.1327,415.13684060432496,42110000.0,0.004940134007483721,16,-0.06229999999999336,16,0.3200000000106229
M10I3L8_Cnt1,415.1238,415.1254502596789,87180000.0,0.005268496926873922,19,-0.05340000000001055,19,1.4600000000200453
M0I0L1_Cnt0,728.2216,728.2249931484,3211000.0,0.11255306005477905,1,-1.0013999999999896,1,0.13999999999896318
M0I0L1_Cnt0,727.2327,727.2295371484,1346000.0,0.08151331543922424,1,-0.9888999999999442,1,1.1100000000055843
M0I0L1_Cnt0,726.2327,726.2261821484,1010000.0,0.16747896373271942,1,-1.0,1,0.0
L+H,662.3127,662.3113251803001,7890000.0,0.2921288311481476,1,-1.0,1,0.0
