Formula,found_mz,theoretical_mz,found_intensity,theoretical_intensity,predicted_charge,mz_difference,charge,splitting_error
Triamine+H,352.1843,352.1813727018,1655000.0,0.7620269060134888,1,-0.9998999999999683,1,0.010000000003174137
M9I6L3_Cnt8,661.1788,661.1829546418601,512400.0,0.0029569552280008793,10,-0.10099999999999909,10,0.9999999999990905
M9I5L5_Cnt7,662.6497,662.6520298042274,300700.0,0.002983944257721305,11,-0.08989999999994325,11,1.1100000000624277
M9I5L5_Cnt7,662.2004,662.1975701678638,839400.0,0.002778821624815464,11,-0.08990000000005693,11,1.1099999999373722
M9I4L5_Cnt11,1010.2842,1010.2762484825143,173800.0,0.0022428343072533607,7,-0.13869999999997162,7,2.9100000000198634
M9I3L3_Cnt9,558.2276,558.2287090368777,308500.0,0.0036638935562223196,9,-0.11349999999993088,9,2.1499999999377906
M9I3L3_Cnt9,558.1142,558.1180014813222,225100.0,0.0036410228349268436,9,-0.11340000000006967,9,2.0600000000627006
M9I1L9_Cnt8,778.6356,778.63471523645,204600.0,0.0027006547898054123,10,-0.09739999999999327,10,2.6000000000067303
M9I1L7_Cnt5,477.2096,477.2103656482846,34090000.0,0.0038694648537784815,13,-0.07630000000000337,13,0.8099999999956253
M9I1L7_Cnt5,477.1334,477.13379210982305,180900.0,0.003632673993706703,13,-0.07620000000002847,13,0.9399999999629927
M9I10L0_Cnt6,557.166,557.1629215974167,201500.0,0.003273468464612961,12,-0.08249999999998181,12,1.0000000000218279
M9I10L0_Cnt6,557.0836,557.0801270140834,172300.0,0.0034897681325674057,12,-0.08240000000000691,12,1.1199999999917054
M9I0L10_Cnt8,789.1439,789.1386241524,172700.0,0.002539745531976223,10,-0.09809999999993124,10,1.9000000000687578
M8I9L0_Cnt7,683.1972,683.1976153400111,481300.0,0.003723944304510951,9,-0.11410000000000764,9,2.690000000006876
M8I8L1_Cnt8,792.2242,792.22753751245,436200.0,0.003650498343631625,8,-0.12279999999998381,8,1.7600000000129512
M8I7L2_Cnt8,805.2367,805.2332317823875,393000.0,0.0034159806091338396,8,-0.12379999999996016,8,0.9600000000318687
M8I1L7_Cnt5,558.1658,558.1641460388818,214400.0,0.004420527722686529,11,-0.0927000000000362,11,1.9700000000398177
M8I1L6_Cnt6,556.1467,556.15093231593,689800.0,0.004415957722812891,10,-0.1028999999999769,10,2.899999999976899
M7I5L3_Cnt4,557.166,557.17056889097,201500.0,0.00541949225589633,10,-0.1029999999999518,10,2.999999999951797
M7I2L6_Cnt5,663.65,663.6482511409112,297700.0,0.004633655771613121,9,-0.11239999999997963,9,1.1599999999816646
M7I2L6_Cnt5,663.2003,663.2042843631334,857100.0,0.006008924450725317,9,-0.11239999999997963,9,1.1599999999816646
M7I2L3_Cnt8,708.1638,708.1578129105001,241900.0,0.005151581019163132,6,-0.16259999999999764,6,2.440000000001419
