Formula,found_mz,theoretical_mz,found_intensity,theoretical_intensity,predicted_charge,mz_difference,charge,splitting_error
M9I7L2_Cnt9,666.0919,666.0954293908778,3844000.0,0.00436193635687232,9,-0.11270000000001801,9,1.4300000000162072
M9I4L5_Cnt7,518.1015,518.1003342949999,472600.0,0.00424460181966424,11,-0.08940000000006876,11,1.6599999999243664
M9I3L7_Cnt7,562.0286,562.0266473559,410100.0,0.004211525898426771,11,-0.09320000000002437,11,2.520000000026812
M9I3L5_Cnt9,662.0881,662.089875147389,910000.0,0.0038322273176163435,9,-0.11229999999989104,9,1.0699999999019383
M9I1L9_Cnt9,769.1293,769.131068851811,1375000.0,0.0034154755994677544,9,-0.10900000000003729,9,1.8999999999664396
M9I1L9_Cnt8,664.1223,664.12589698863,3847000.0,0.004285548813641071,10,-0.10119999999994889,10,1.1999999999488864
M9I1L8_Cnt7,542.5627,542.5618376847364,573500.0,0.004311209078878164,11,-0.09149999999999636,11,0.6499999999959982
M9I0L9_Cnt8,634.1136,634.11295794078,655500.0,0.003788610454648733,10,-0.0988999999999578,10,1.1000000000422006
M8I4L5_Cnt6,536.1266,536.1259646465,589700.0,0.005102861672639847,10,-0.10109999999997399,10,1.0999999999739885
M8I2L5_Cnt8,664.0998,664.1032917585,7102000.0,0.006483940873295069,8,-0.12369999999998527,8,1.040000000011787
M8I0L8_Cnt6,532.6158,532.62031932736,821700.0,0.007063660304993391,10,-0.10079999999993561,10,0.7999999999356078
M7I2L6_Cnt4,452.1402,452.13841925221993,465300.0,0.009160269051790237,10,-0.10210000000000719,10,2.100000000007185
M7I2L4_Cnt6,537.1174,537.113301616725,598600.0,0.008518666960299015,8,-0.12139999999999418,8,2.8800000000046566
M4I1L1_Cnt4,518.171,518.167599543175,439400.0,0.05183852091431618,4,-0.24839999999994689,4,0.6400000000212458
M11I9L3_Cnt11,698.1764,698.1795990553727,393800.0,0.0022128208074718714,11,-0.09230000000002292,11,1.5300000000252112
M11I8L1_Cnt9,464.5951,464.5910154170923,387800.0,0.0031529744155704975,13,-0.07519999999999527,13,2.240000000006148
M11I4L6_Cnt10,588.6581,588.6557580132667,326700.0,0.00294506479986012,12,-0.0847999999999729,12,1.7599999999674765
M11I4L5_Cnt14,974.1716,974.172372588125,311100.0,0.0019460610346868634,8,-0.12249999999994543,8,2.0000000000436557
M11I3L7_Cnt10,596.1575,596.1582500212417,254800.0,0.0025021324399858713,12,-0.08519999999998618,12,2.239999999983411
M11I3L6_Cnt8,443.064,443.06441150862145,370700.0,0.003958113957196474,14,-0.07349999999996726,14,2.8999999999541615
M11I2L5_Cnt13,768.1371,768.1324434708889,2948000.0,0.0027550694067031145,9,-0.1088999999999487,9,1.990000000046166
M11I1L5_Cnt12,633.1139,633.11385959795,595000.0,0.003290977329015732,10,-0.09880000000009659,10,1.1999999999034117
M11I10L0_Cnt10,544.058,544.05887054875,332500.0,0.002963578561320901,12,-0.08150000000000546,12,2.1999999999934516
M11I0L11_Cnt8,518.0916,518.0928744682999,283100.0,0.002707773121073842,14,-0.06950000000006185,14,2.699999999913416
M11I0L11_Cnt7,464.6233,464.62594451841335,530000.0,0.0026432338636368513,15,-0.06580000000002428,15,1.2999999999635747
M10I8L1_Cnt9,543.071,543.0688330383817,1097000.0,0.004109448287636042,11,-0.09159999999997126,11,0.759999999968386
M10I10L0_Cnt9,562.0804,562.0784649822727,388200.0,0.00329564674757421,11,-0.09309999999993579,11,2.4099999999293686
M10I0L10_Cnt8,566.1022,566.1016008318333,349000.0,0.0030895648524165154,12,-0.08299999999996999,12,0.400000000036016
M0I0L1_Cnt0,455.0961,455.09179657420003,439000.0,0.0951782837510109,1,-0.9874000000000365,1,1.259999999996353
M0I0L1_Cnt0,454.0911,454.0884415742,265900.0,0.36666619777679443,1,-1.0049999999999955,1,0.49999999999954525
