Formula,found_mz,theoretical_mz,found_intensity,theoretical_intensity,predicted_charge,mz_difference,charge,splitting_error
M9I5L5_Cnt3,451.6393,451.6408566841,168100000.0,0.006893518380820751,15,-0.06490000000002283,15,2.6499999999657575
M9I5L5_Cnt3,451.5743,451.5744929507667,1787000.0,0.007211291231215,15,-0.06499999999999773,15,2.5000000000034106
M9I1L9_Cnt3,475.3809,475.38126977628673,4159000.0,0.006262266542762518,15,-0.066599999999994,15,0.100000000009004
M9I1L7_Cnt5,476.0853,476.0857339623308,2902000.0,0.006047870498150587,13,-0.07619999999997162,13,0.9400000000368891
M9I0L5_Cnt7,429.1203,429.11656377409093,10000000.0,0.00737175066024065,11,-0.09039999999998827,11,0.5600000000129057
M8I7L0_Cnt5,452.1588,452.1614781799182,33640000.0,0.009084642864763737,11,-0.0928000000000111,11,2.0800000000122054
M8I7L0_Cnt5,452.066,452.0702640890091,3645000.0,0.009881733916699886,11,-0.0928000000000111,11,2.0800000000122054
M8I7L0_Cnt5,451.8897,451.88872863446363,172500000.0,0.010334379971027374,11,-0.0928000000000111,11,2.0800000000122054
M8I4L4_Cnt4,475.6759,475.68001556943335,1181000.0,0.009588143788278103,12,-0.08569999999997435,12,2.8399999999692227
M8I0L6_Cnt5,452.2423,452.24593715381815,1677000.0,0.007445038761943579,11,-0.0928000000000111,11,2.0800000000122054
M7I3L4_Cnt3,451.732,451.7313376892636,1606000.0,0.010558649897575378,11,-0.09279999999995425,11,2.0799999999496777
M7I3L4_Cnt3,451.6393,451.64084168926365,168100000.0,0.010460065677762032,11,-0.0927000000000362,11,1.9700000000398177
M7I3L4_Cnt3,451.3703,451.36809214380906,2092000.0,0.013692457228899002,11,-0.0927000000000362,11,1.9700000000398177
M3I1L3_Cnt0,429.9615,429.96287862205,1985000.0,0.04790996015071869,6,-0.16289999999997917,6,2.2600000000124965
M3I1L3_Cnt0,429.7986,429.7956527887166,1271000.0,0.055026788264513016,6,-0.16289999999997917,6,2.2600000000124965
M3I1L3_Cnt0,429.4639,429.4628377887166,1457000.0,0.031970757991075516,6,-0.16280000000000427,6,2.3199999999974352
M3I0L2_Cnt3,627.0449,627.0474993613334,1811000.0,0.04760900139808655,3,-0.338799999999992,3,1.639999999997599
M3I0L2_Cnt3,626.717,626.716321028,1749000.0,0.03904218599200249,3,-0.32789999999999964,3,1.6300000000001091
M3I0L2_Cnt3,626.3784,626.3818693613333,1877000.0,0.04149149730801582,3,-0.3385999999999285,3,1.5799999999785541
M3I0L2_Cnt3,626.0508,626.0500506946668,1254000.0,0.058094777166843414,3,-0.32760000000007494,3,1.7199999999775173
M3I0L2_Cnt3,625.7123,625.715599028,1239000.0,0.061739351600408554,3,-0.3384999999999536,3,1.5499999999860847
M2I3L0_Cnt2,1009.7294,1009.7223466819501,1741000.0,0.03260790929198265,2,-0.48539999999991323,2,2.920000000017353
M2I3L0_Cnt2,1009.2302,1009.22066918195,2121000.0,0.05531853437423706,2,-0.485300000000052,2,2.9399999999895954
M2I3L0_Cnt2,1008.7311,1008.7229411819501,2411000.0,0.04852057248353958,2,-0.485300000000052,2,2.9399999999895954
M2I3L0_Cnt2,1008.2184,1008.2212636819501,1999000.0,0.08231398463249207,2,-0.49890000000004875,2,0.21999999999025022
M2I3L0_Cnt2,1007.7334,1007.7244961819501,1881000.0,0.04228593781590462,2,-0.48500000000001364,2,2.9999999999972715
M2I3L0_Cnt2,1007.2208,1007.22281868195,1186000.0,0.07173707336187363,2,-0.49869999999998527,2,0.26000000000294676
M2I3L0_Cnt1,623.4981,623.4975559913,26080000.0,0.03433937951922417,3,-0.3269999999999982,3,1.9000000000005457
M2I3L0_Cnt1,623.1603,623.1631043246333,29770000.0,0.05879533663392067,3,-0.33780000000001564,3,1.340000000004693
M2I3L0_Cnt1,622.8336,622.8312856579668,40200000.0,0.051096998155117035,3,-0.3266999999999598,3,1.99000000001206
M2I3L0_Cnt1,622.496,622.4968339913,30490000.0,0.08748746663331985,3,-0.3267000000000735,3,1.9899999999779538
M2I3L0_Cnt1,622.1693,622.1656556579668,31140000.0,0.04453130438923836,3,-0.3266999999999598,3,1.99000000001206
