Formula,found_mz,theoretical_mz,found_intensity,theoretical_intensity,predicted_charge,mz_difference,charge,splitting_error
M1I1L1_Cnt0,414.6438,414.64756918585,1784000.0,0.10805828124284744,2,-0.5067000000000235,2,1.340000000004693
M1I1L1_Cnt0,414.1463,414.14984118585005,2011000.0,0.0817362368106842,2,-0.4975000000000023,2,0.49999999999954525
M1I1L1_Cnt0,413.6491,413.64816368585,2688000.0,0.16079072654247284,2,-0.49720000000002074,2,0.5599999999958527
M1I1L1_Cnt0,413.1522,413.15139618585005,2332000.0,0.14246712625026703,2,-0.49689999999998236,2,0.6200000000035288
M1I1L1_Cnt0,412.6467,412.64971868585,3860000.0,0.2802599370479584,2,-0.5054999999999836,2,1.0999999999967258
M1I0L2_Cnt0,465.6681,465.6709407656,1218000.0,0.08672729879617691,2,-0.4993000000000052,2,0.13999999999896318
M1I0L2_Cnt0,465.1785,465.1741732656,1556000.0,0.04332688823342323,2,-0.4895999999999958,2,2.0800000000008367
M1I0L2_Cnt0,464.6703,464.67249576560005,1593000.0,0.15116660296916962,2,-0.498800000000017,2,0.2399999999965985
M1I0L2_Cnt0,464.1719,464.1708182656,2513000.0,0.25882506370544434,2,-0.49840000000000373,2,0.3199999999992542
M11I6L2_Cnt8,414.0663,414.0672261005571,880200.0,0.004078601486980915,14,-0.07110000000000127,14,0.4599999999982174
M10I9L2_Cnt8,560.0439,560.0428312688417,904100.0,0.0031135124154388905,12,-0.08259999999995671,12,0.8800000000519503
M10I9L1_Cnt6,409.1081,409.10498470717863,796400.0,0.004833970684558153,14,-0.0706000000000131,14,1.1599999999816646
M10I1L6_Cnt9,554.2648,554.2670381108818,72980000.0,0.004152708686888218,11,-0.09239999999999782,11,1.639999999997599
L+H,433.2164,433.2140697975,139400000.0,0.7294593453407288,1,-0.9997999999999934,1,0.02000000000066393
