Formula,found_mz,theoretical_mz,found_intensity,theoretical_intensity,predicted_charge,mz_difference,charge,splitting_error
Triamine+H,352.1843,352.1813727018,12210000.0,0.7620269060134888,1,-0.9998999999999683,1,0.010000000003174137
M9I2L5_Cnt6,557.2382,557.2392909499833,11150000.0,0.00439538573846221,12,-0.08240000000000691,12,1.1199999999917054
M8I2L5_Cnt6,662.1892,662.19488093998,1696000.0,0.005887981038540602,10,-0.10109999999997399,10,1.0999999999739885
M8I2L3_Cnt5,456.1301,456.1296093929999,1446000.0,0.006951897405087948,11,-0.09319999999996753,11,2.519999999964284
M8I0L4_Cnt5,415.2039,415.2005143176,1537000.0,0.006548264063894749,11,-0.08890000000002374,11,2.2099999999738884
M6I0L7_Cnt2,557.2485,557.25143325988,71350000.0,0.00941830687224865,10,-0.1029999999999518,10,2.999999999951797
M2I3L0_Cnt2,1181.7417,1181.73516076335,1491000.0,0.04557124152779579,2,-0.49520000000006803,2,0.959999999986394
M2I3L0_Cnt1,694.8477,694.8494942489001,2091000.0,0.0546785444021225,3,-0.33370000000002165,3,0.11000000000649379
M2I3L0_Cnt1,694.5141,694.5176755822334,2291000.0,0.05059918388724327,3,-0.33360000000004675,3,0.08000000001402441
M2I3L0_Cnt1,694.1806,694.1832239155668,2097000.0,0.08136167377233505,3,-0.33349999999995816,3,0.04999999998744897
M2I2L0_Cnt2,904.1016,904.1006832689001,4565000.0,0.03347554802894592,2,-0.49880000000007385,2,0.2399999999852298
M2I2L0_Cnt2,903.6031,903.6039157689,4354000.0,0.05048629269003868,2,-0.4984999999999218,2,0.3000000000156433
M2I2L0_Cnt2,903.1046,903.1022382689,7640000.0,0.05834823474287987,2,-0.49850000000003547,2,0.29999999999290594
M2I2L0_Cnt2,902.6063,902.6045102689001,4198000.0,0.0751236081123352,2,-0.498299999999972,2,0.3400000000056025
M2I2L0_Cnt2,902.1081,902.1028327689,5816000.0,0.08682217448949814,2,-0.4981999999999971,2,0.3600000000005821
M2I2L0_Cnt2,901.61,901.6060652689,2402000.0,0.0654706209897995,2,-0.48500000000001364,2,2.9999999999972715
M2I2L0_Cnt2,901.1122,901.1043877689001,4197000.0,0.07566598802804947,2,-0.4977999999999838,2,0.4400000000032378
M2I2L0_Cnt1,509.4261,509.4280239192667,9166000.0,0.03846735879778862,3,-0.33499999999997954,3,0.4999999999938609
M2I2L0_Cnt1,509.1011,509.09684558593335,11150000.0,0.056564345955848694,3,-0.3250000000000455,3,2.4999999999863576
M2I2L0_Cnt1,508.7663,508.7623939192667,16270000.0,0.06704901158809662,3,-0.3347999999999729,3,0.4399999999918691
M2I2L0_Cnt1,508.4317,508.4305752526,11880000.0,0.08416775614023209,3,-0.3346000000000231,3,0.38000000000693035
M2I2L0_Cnt1,508.0972,508.09612358593336,14670000.0,0.09976893663406372,3,-0.33449999999999136,3,0.34999999999740794
M2I2L0_Cnt1,507.7628,507.76494525260006,7060000.0,0.0733526423573494,3,-0.3343999999999596,3,0.31999999998788553
M2I2L0_Cnt1,507.4284,507.43049358593333,7968000.0,0.08694916218519211,3,-0.33440000000001646,3,0.32000000000493856
M2I2L0_Cnt0,311.8452,311.84331049445,15040000.0,0.06333247572183609,4,-0.24670000000003256,4,1.319999999986976
M2I2L0_Cnt0,311.5909,311.59247174445,20530000.0,0.07704723626375198,4,-0.25430000000000064,4,1.7200000000002547
M2I2L0_Cnt0,311.3445,311.34360774445,15820000.0,0.09423872828483582,4,-0.24639999999999418,4,1.4400000000023283
M2I2L0_Cnt0,311.0981,311.09522399444995,17170000.0,0.0333109088242054,4,-0.24639999999999418,4,1.4400000000023283
M2I2L0_Cnt0,310.8441,310.84438524445,10090000.0,0.08212955296039581,4,-0.24629999999996244,4,1.4800000000150249
M2I1L1_Cnt2,954.6282,954.62333784865,1782000.0,0.05388563126325607,2,-0.49890000000004875,2,0.21999999999025022
M2I1L1_Cnt2,954.1293,954.12560984865,1341000.0,0.07544856518507004,2,-0.4854000000000269,2,2.919999999994616
M2I1L1_Cnt2,953.6306,953.62393234865,1458000.0,0.08018182218074799,2,-0.49869999999998527,2,0.26000000000294676
M2I1L1_Cnt1,543.7731,543.7754236391,3261000.0,0.03552528843283653,3,-0.33579999999994925,3,0.7399999999847751
M2I1L1_Cnt1,543.4474,543.4442453057667,4096000.0,0.05692622438073158,3,-0.32569999999998345,3,2.290000000004966
M2I1L1_Cnt1,543.1118,543.1097936391,5456000.0,0.061920955777168274,3,-0.33559999999999945,3,0.6799999999998363
M2I1L1_Cnt1,542.7761,542.7779749724333,3963000.0,0.08470622450113297,3,-0.33569999999997435,3,0.7099999999923057
M2I1L1_Cnt1,542.4509,542.4467966391,4198000.0,0.03353439271450043,3,-0.32519999999999527,3,2.440000000001419
M2I1L1_Cnt1,542.1155,542.1123449724333,2473000.0,0.07382192462682724,3,-0.32519999999999527,3,2.440000000001419
M2I1L1_Cnt1,541.7802,541.7778933057666,2537000.0,0.08029909431934357,3,-0.3352999999999611,3,0.5899999999883221
M2I1L1_Cnt0,337.8528,337.852244034325,3277000.0,0.04082275554537773,4,-0.24869999999998527,4,0.5200000000058935
M2I1L1_Cnt0,337.6041,337.603860284325,4159000.0,0.06387577950954437,4,-0.24869999999998527,4,0.5200000000058935
M2I1L1_Cnt0,337.3556,337.35302153432497,5633000.0,0.07115449756383896,4,-0.24850000000003547,4,0.5999999999858119
M2I1L1_Cnt0,337.1071,337.104157534325,4190000.0,0.09504716843366623,4,-0.24849999999997863,4,0.6000000000085493
M2I1L1_Cnt0,336.8588,336.85577378432504,4460000.0,0.03673236072063446,4,-0.24830000000002883,4,0.6799999999884676
M2I1L1_Cnt0,336.6025,336.60493503432497,2536000.0,0.08283410966396332,4,-0.248299999999972,4,0.680000000011205
M2I1L1_Cnt0,336.3543,336.354096284325,2668000.0,0.09227314591407776,4,-0.2481999999999971,4,0.7200000000011642
