Formula,found_mz,theoretical_mz,found_intensity,theoretical_intensity,predicted_charge,mz_difference,charge,splitting_error
M1I2L0_Cnt0,334.093,334.0957639785,2845000.0,0.18192951381206512,2,-0.5027999999999793,2,0.5599999999958527
M1I2L0_Cnt0,333.5986,333.5989964785,1989000.0,0.1234700083732605,2,-0.4944000000000415,2,1.1199999999917054
M1I2L0_Cnt0,333.0966,333.09731897849997,4916000.0,0.31710508465766907,2,-0.5019999999999527,2,0.39999999999054126
M1I1L1_Cnt0,379.11,379.11071602635,1127000.0,0.077165886759758,2,-0.5014999999999645,2,0.29999999999290594
M1I1L1_Cnt0,378.6173,378.61394852635,1312000.0,0.029821882024407387,2,-0.49270000000001346,2,1.459999999997308
M11I3L9_Cnt7,473.0999,473.09750633755334,40830000.0,0.003007731167599559,15,-0.0665000000000191,15,0.24999999997135092
M10I7L1_Cnt9,515.512,515.5115934494272,2567000.0,0.0036161395255476236,11,-0.08920000000000528,11,1.8799999999941974
M10I0L9_Cnt7,471.0896,471.0875443559846,206100000.0,0.004182140808552504,13,-0.07579999999995835,13,1.4600000000541513
L+H,391.169,391.1671196061,13780000.0,0.7539050579071045,1,-1.0019000000000347,1,0.19000000000346517
I+H,302.1418,302.14057051040004,38600000.0,0.8074200749397278,1,-1.0022000000000162,1,0.2200000000016189
