id,type,ppm,amplitude
0,aldehyde,9.96130547896757,351559.75
0,imine,8.72290632691346,2985232.125
1,imine,8.698456195579716,282283.25
2,imine,8.686231129912844,135988.0
3,imine,8.615937002328334,1066849.5
4,imine,8.521803996693421,3279422.875
5,imine,8.251630045455553,6365670.5
6,imine,8.239404979788684,21089.625
7,imine,8.21678860830497,3341940.625
8,imine,8.151384506987206,3307458.0
9,imine,8.11654306983662,10052.625
10,imine,8.082924139252725,430816.125
11,imine,8.069476567019166,21664.25
12,imine,8.062752780902386,476520.25
13,imine,8.009573745251494,2492004.375
14,imine,7.964952255567412,1957269.75
15,imine,7.930110818416826,32821.75
16,imine,7.893435621416212,773901.0
17,imine,7.820085227414981,3446241.25
18,imine,7.801136375631329,57709.5
19,imine,7.798080109214612,10004.75
20,imine,7.795023842797893,10621.125
21,imine,7.752236112963842,13433685.0
22,imine,7.639154255545278,33618.625
23,imine,7.635486735845217,10090.125
24,imine,7.626317936595064,274461.0
25,imine,7.617149137344909,10161.625
26,imine,7.611647857794817,123377.75
27,imine,7.4973434938095656,4817397.625
28,imine,7.471059602625792,33044.0
29,imine,7.469225842775761,10489.0
30,imine,7.457000777108889,20938.75
31,imine,7.433773152341833,10600.125
32,imine,7.430716885925114,10428.5
33,imine,7.412379287424808,2240572.125
34,imine,7.373259077290817,10322.0
35,imine,7.27668105852253,6955634.25
36,imine,7.249174660772069,35177.125
37,imine,6.722274330529896,617526.625
38,imine,6.7014917188962135,493534.75
39,imine,6.695379186062778,21190.375
40,imine,6.515670720759764,86288.75
41,imine,6.496110615692769,340232.125
42,imine,6.490609336142676,22453.375
43,imine,6.483885550025897,213389.875
44,imine,6.400143850207825,6451578.75
45,imine,6.379972491857486,21178.25
