id,type,ppm,amplitude
0,aldehyde,10.030377099985397,130945.8125
0,imine,8.91850737758341,417401.75
1,imine,8.906282311916538,683833.15625
2,imine,8.708236248113217,1120162.40625
3,imine,8.696011182446345,22506.59375
4,imine,8.583540578311123,228512.75
5,imine,8.564591726527471,629664.9375
6,imine,8.553589167427287,34413.59375
7,imine,8.545031621460478,378995.875
8,imine,8.454566135525624,47376.125
9,imine,8.370824435707554,10050.59375
10,imine,8.367156916007492,43181.75
11,imine,8.35798811675734,259246.40625
12,imine,8.350653077357215,56039.25
13,imine,8.338428011690343,493161.0
14,imine,8.31703414677332,3319278.09375
15,imine,8.263855111122428,10059.15625
16,imine,8.258353831572332,110613.21875
17,imine,8.253463805305586,78922.03125
18,imine,8.246740019188806,268273.90625
19,imine,8.229013673971842,206545.875
20,imine,8.219844874721687,20728.09375
21,imine,8.207008555771473,10051.96875
22,imine,8.202118529504723,155860.65625
23,imine,8.191727223687884,21141.4375
24,imine,8.188670957271164,10058.34375
25,imine,8.175223385037604,247318.84375
26,imine,8.168499598920828,10095.125
27,imine,8.161164559520703,242337.6875
28,imine,8.154440773403923,10627.09375
29,imine,8.143438214303739,10981.375
30,imine,8.074366593285912,9671724.65625
31,imine,7.90688319364977,2470891.90625
32,imine,7.846980371882098,2452620.1875
33,imine,7.799913869064642,484045.1875
34,imine,7.782187523847678,65591.09375
35,imine,7.779131257430961,10451.5625
36,imine,7.7766862442975855,10414.59375
37,imine,7.773629977880868,77202.75
38,imine,7.7675174450474325,30656.375
39,imine,7.759571152363965,44625.21875
40,imine,7.741233553863657,10606.75
41,imine,7.736954780880253,10668.625
42,imine,7.719228435663289,10856.59375
43,imine,7.710670889696478,10298.75
44,imine,7.703335850296356,20949.34375
45,imine,7.701502090446325,10027.65625
46,imine,7.694778304329545,21922.25
47,imine,7.648323054795433,44103.96875
48,imine,7.636097989128561,32165.09375
49,imine,7.631207962861812,64608.3125
50,imine,7.62570668331172,23449.8125
51,imine,7.622650416895001,10075.5
52,imine,7.549911276177116,11143.78125
53,imine,7.546855009760397,66814.4375
54,imine,7.53035117111012,758726.3125
55,imine,7.510179812759781,822467.15625
56,imine,7.49612098724288,10351.5
57,imine,7.469837096059105,46008.9375
58,imine,7.46739208292573,10461.8125
59,imine,7.441108191741956,2033574.34375
60,imine,7.416046807124869,44156.28125
61,imine,7.412990540708152,10026.40625
62,imine,7.409934274291433,10149.59375
63,imine,7.405655501308028,33542.21875
64,imine,7.38365038310766,10718.03125
65,imine,7.367757797740725,46077.1875
66,imine,7.362256518190633,10109.03125
67,imine,7.318246281789896,91100.15625
68,imine,7.315190015373177,10276.4375
69,imine,6.950271805217056,10052.25
70,imine,6.9478267920836805,10030.25
71,imine,6.936212979700152,10747.03125
72,imine,6.8732538915157635,47114.40625
73,imine,6.478384270475805,1085698.5625
74,imine,6.103074754502841,1083675.59375
75,imine,6.0688445706356005,11849.78125
