id,type,ppm,amplitude
0,imine,8.929509936683594,159825.8125
1,imine,8.91667361773338,254100.1875
2,imine,8.907504818483226,23129.5625
3,imine,8.70028995542975,660206.75
4,imine,8.689898649612907,11192.6875
5,imine,8.567036739660846,56695.875
6,imine,8.546865381310507,347990.9375
7,imine,8.527916529526856,343840.3125
8,imine,8.334149238706939,359643.6875
9,imine,8.314589133639945,172883.0
10,imine,8.281581456339392,1826810.8125
11,imine,8.266911377539145,10314.0625
12,imine,8.236348713371964,946229.375
13,imine,8.214343595171595,213273.5625
14,imine,8.208842315621503,65279.875
15,imine,8.185003437571105,299225.6875
16,imine,8.167888345637483,681706.125
17,imine,8.14160445445371,20708.75
18,imine,8.140381947887022,10736.5625
19,imine,8.12143309610337,228992.4375
20,imine,8.117154323119966,21262.0625
21,imine,8.092704191786222,3139844.3125
22,imine,8.038913902851984,89152.0625
23,imine,8.032190116735208,21663.125
24,imine,8.029745103601833,34960.0
25,imine,8.027300090468458,10758.3125
26,imine,7.99368115988456,5827594.25
27,imine,7.875098022915904,376004.1875
28,imine,7.865929223665749,11139.75
29,imine,7.863484210532376,88154.4375
30,imine,7.85920543754897,35688.875
31,imine,7.8537041579988776,76350.0
32,imine,7.8506478915821605,20894.875
33,imine,7.808471415031453,2729125.6875
34,imine,7.751013606397156,92974.75
35,imine,7.74673483341375,10120.0
36,imine,7.744289820280376,57446.1875
37,imine,7.73817728744694,85927.125
38,imine,7.735732274313565,24080.125
39,imine,7.733898514463536,11367.75
40,imine,7.730842248046817,21443.3125
41,imine,7.726563475063412,22266.0625
42,imine,7.721673448796664,10222.3125
43,imine,7.7198396889466325,74143.375
44,imine,7.715560915963228,34400.1875
45,imine,7.708225876563104,53938.0625
46,imine,7.702724597013012,55786.75
47,imine,7.662993133595678,152298.6875
48,imine,7.656880600762244,43402.0625
49,imine,7.653213081062181,10945.1875
50,imine,7.644044281812028,397805.125
51,imine,7.626929189878408,57414.875
52,imine,7.623872923461689,21024.625
53,imine,7.617760390628253,114152.875
54,imine,7.522404878426653,420399.9375
55,imine,7.5132360791765,21212.75
56,imine,7.502844773359658,524034.875
57,imine,7.485118428142694,10774.5625
58,imine,7.480839655159289,68390.625
59,imine,7.459445790242264,33763.8125
60,imine,7.456389523825545,57056.1875
61,imine,7.434384405625177,326287.875
62,imine,7.4178805669749,537053.75
63,imine,7.4050442480246845,359257.75
64,imine,7.391596675791125,20672.75
65,imine,7.368369051024069,149899.0
66,imine,7.3634790247573205,10790.9375
67,imine,7.353698972223824,21882.625
68,imine,7.351865212373792,20662.625
69,imine,7.348808945957074,10195.25
70,imine,7.337806386856889,21197.625
71,imine,7.334138867156828,10987.8125
72,imine,7.270568525689096,10422.9375
73,imine,7.239394608238572,198919.6875
74,imine,7.232670822121793,10178.9375
75,imine,7.231448315555105,10744.0
76,imine,7.225947036005013,10138.8125
77,imine,7.215555730188172,45666.4375
78,imine,7.211276957204768,10698.375
79,imine,7.157486668270532,10602.5625
80,imine,7.136092803353505,10119.4375
81,imine,6.741834435596892,31102.375
82,imine,6.5407321053768515,677080.5625
83,imine,6.307844604422944,677768.4375
84,imine,6.2613893548888315,11513.9375
85,imine,6.189261467454288,20719.5625
86,imine,6.1843714411875395,10300.5625
