id,type,ppm,amplitude
0,imine,8.824374371948497,531197.25
1,imine,8.750412724663924,10050.21875
2,imine,8.741855178697111,10996.65625
3,imine,8.739410165563736,169313.90625
4,imine,8.72779635318021,252269.75
5,imine,8.714960034229996,159799.96875
6,imine,8.681341103646098,10408.78125
7,imine,8.661169745295759,57455.90625
8,imine,8.62755081471186,375412.84375
9,imine,8.37326944884093,650026.34375
10,imine,8.246740019188806,35365.03125
11,imine,8.153218266837236,131021.28125
12,imine,8.147105734003802,71877.0625
13,imine,8.135491921620272,10366.40625
14,imine,8.132435655203555,33371.90625
15,imine,8.112875550136561,10751.59375
16,imine,8.095149204919597,864644.65625
17,imine,8.08231288596938,21386.03125
18,imine,8.055417741502264,10081.15625
19,imine,8.05297272836889,50223.59375
20,imine,8.044415182402076,10959.65625
21,imine,8.03952515613533,122430.25
22,imine,8.035857636435267,10359.1875
23,imine,8.016908784651616,382163.875
24,imine,8.002238705851369,138769.40625
25,imine,7.992458653317873,883431.8125
26,imine,7.971064788400848,43422.59375
27,imine,7.967397268700785,31941.0
28,imine,7.958839722733976,385707.8125
29,imine,7.948448416917134,21847.90625
30,imine,7.9429471373670415,156580.0
31,imine,7.936834604533606,43161.65625
32,imine,7.911161966633176,2652710.5625
33,imine,7.8598166908323135,20604.03125
34,imine,7.856149171132253,58548.90625
35,imine,7.831087786515165,2041581.6875
36,imine,7.78768880339777,10267.78125
37,imine,7.784632536981053,22922.5625
38,imine,7.771184964747493,1023066.4375
39,imine,7.748568593263781,31907.90625
40,imine,7.74673483341375,10034.59375
41,imine,7.734509767746878,111302.40625
42,imine,7.713727156113197,430617.0625
43,imine,7.667271906579084,253085.5625
44,imine,7.653213081062181,120147.875
45,imine,7.392207929074469,10705.59375
46,imine,7.338417640140233,284723.375
47,imine,7.260788473155597,929950.125
48,imine,7.241839621371946,209359.4375
49,imine,7.131202777086757,966607.78125
50,imine,6.801737257364564,108772.34375
51,imine,6.791345951547721,111648.5
52,imine,6.724108090379928,10055.03125
53,imine,6.711271771429712,400633.1875
54,imine,6.407478889607948,96924.96875
55,imine,6.398921343641137,105547.125
56,imine,6.345742307990245,687412.5625
57,imine,6.1605325631371395,1572734.09375
58,imine,6.0957397151027175,20219.625
59,imine,6.092072195402657,54613.53125
60,imine,6.063343291085508,663828.03125
