id,type,ppm,amplitude
0,aldehyde,9.980865584034564,81845.4375
0,imine,8.708236248113217,326428.75
1,imine,8.667282278129193,1070403.9375
2,imine,8.633052094261952,54733.8125
3,imine,8.621438281878426,21894.5
4,imine,8.501021385059737,4802750.5625
5,imine,8.133658161770242,318307.5625
6,imine,8.060307767769011,6118728.25
7,imine,8.017520037934961,226208.75
8,imine,8.011407505101523,20708.625
9,imine,7.980844840934345,5488740.375
10,imine,7.8537041579988776,10061.5
11,imine,7.705169610146386,32687711.25
12,imine,7.592699006011165,10053.9375
13,imine,7.566415114827392,351124.875
14,imine,7.5596913287106124,23617.5625
15,imine,7.551745036027145,55510.8125
16,imine,7.5450212499103655,53032.5
17,imine,7.493064720826161,8357764.3125
18,imine,7.472893362475822,10167.125
19,imine,7.464947069792356,10513.375
20,imine,7.463113309942325,10340.125
21,imine,7.453333257408828,23690.25
22,imine,7.450888244275453,20870.25
23,imine,7.442941951591986,142757.0
24,imine,7.4380519253252375,21656.9375
25,imine,7.431939392491802,310053.1875
26,imine,7.41971432682493,33418.5625
27,imine,7.415435553841525,20631.8125
28,imine,7.410545527574777,228584.0
29,imine,7.331693854023453,34547.625
30,imine,7.323136308056644,462331.25
31,imine,7.302353696422961,668945.375
32,imine,6.72288558381324,6833957.9375
33,imine,6.526673279859948,2426754.4375
34,imine,6.478384270475805,330895.25
35,imine,6.471049231075681,32669.75
36,imine,6.457601658842122,315644.4375
