id,type,ppm,amplitude
0,aldehyde,9.977198064334505,139224.875
0,imine,8.729018859746898,138983.46875
1,imine,8.658113478879041,10561.875
2,imine,8.583540578311123,157015.921875
3,imine,8.57314927249428,1069831.140625
4,imine,8.56398047324413,10023.1875
5,imine,8.555422927277316,21396.921875
6,imine,8.554200420710632,10210.1875
7,imine,8.403220859724765,10130.625
8,imine,8.386105767791143,58130.609375
9,imine,8.373880702124271,247747.640625
10,imine,8.367156916007492,57030.34375
11,imine,8.354320597057278,704865.8125
12,imine,8.335371745273626,460126.703125
13,imine,8.32070166647338,104221.796875
14,imine,8.30053030812304,49219.75
15,imine,8.294417775289606,299032.171875
16,imine,8.287082735889484,10329.671875
17,imine,8.285860229322797,10056.390625
18,imine,8.274857670222612,1868784.359375
19,imine,8.226568660838467,58297.75
20,imine,8.213732341888253,174257.484375
21,imine,8.207619809054815,10489.390625
22,imine,8.194172236821256,158066.4375
23,imine,8.174612131754262,85255.8125
24,imine,8.172167118620887,10505.328125
25,imine,8.16238706608739,395521.359375
26,imine,8.142215707737051,171109.078125
27,imine,8.125100615803433,210023.828125
28,imine,8.115320563269936,10046.0625
29,imine,8.110430537003186,182732.890625
30,imine,8.091481685219534,123640.171875
31,imine,8.06703155388579,11094.671875
32,imine,8.038302649568642,3033636.9375
33,imine,8.016908784651616,32502.15625
34,imine,8.005906225551431,404569.21875
35,imine,7.997959932867965,10089.0625
36,imine,7.985123613917749,143524.40625
37,imine,7.975954814667596,269492.1875
38,imine,7.9667860154174415,123942.140625
39,imine,7.961895989150693,10052.921875
40,imine,7.851259144865504,14702056.78125
41,imine,7.6085915913781,1413557.328125
42,imine,7.588420233027761,10117.03125
43,imine,7.583530206761012,21008.84375
44,imine,7.581085193627637,21291.4375
45,imine,7.571916394377484,10068.0
46,imine,7.570082634527453,10034.640625
47,imine,7.567026368110736,22161.109375
48,imine,7.5609138352773,10163.5625
49,imine,7.5596913287106124,10399.03125
50,imine,7.556023809010552,54861.046875
51,imine,7.55419004916052,30647.15625
52,imine,7.549300022893772,174155.515625
53,imine,7.537686210510244,20976.390625
54,imine,7.529128664543433,304841.671875
55,imine,7.5132360791765,519019.53125
56,imine,7.4942872273928485,371483.265625
57,imine,7.48267341500932,45486.5
58,imine,7.476560882175884,10098.0
59,imine,7.474727122325853,10501.46875
60,imine,7.471059602625792,10619.6875
61,imine,7.441108191741956,962415.234375
62,imine,7.430105632641772,35458.625
63,imine,7.4203255801082735,263259.28125
64,imine,7.415435553841525,53822.546875
65,imine,7.4111567808581205,31987.875
66,imine,7.403821741457997,221160.1875
67,imine,7.394652942207844,33237.59375
68,imine,7.380594116690941,52740.875
69,imine,7.373870330574161,32575.390625
70,imine,7.371425317440788,21295.265625
71,imine,7.342696413123638,10270.1875
72,imine,7.320691294923269,10040.53125
73,imine,7.317635028506552,31060.765625
74,imine,7.312745002239802,106366.828125
75,imine,7.296852416872869,10037.703125
76,imine,7.284627351205997,1159575.671875
77,imine,7.26445599285566,6955777.203125
78,imine,7.085970034119332,50324.421875
79,imine,7.0725224618857725,264346.796875
80,imine,7.067632435619024,20441.21875
81,imine,7.0639649159189615,43517.53125
82,imine,7.059686142935557,10022.34375
83,imine,7.055407369952152,43380.34375
84,imine,7.052962356818777,43944.21875
85,imine,7.050517343685404,10566.4375
86,imine,7.046238570701997,11118.984375
87,imine,7.038292278018532,10243.828125
88,imine,7.034013505035126,10319.515625
89,imine,7.029123478768377,20221.578125
90,imine,7.027289718918348,10269.8125
91,imine,7.004673347434633,1471407.0625
92,imine,6.9741106832674555,32553.78125
93,imine,6.972276923417424,20587.328125
94,imine,6.966775643867332,148874.625
95,imine,6.96127436431724,30727.515625
96,imine,6.4930543492760515,250874.609375
97,imine,6.487553069725958,32768.46875
98,imine,6.482663043459209,10030.828125
99,imine,6.481440536892523,21961.09375
100,imine,6.453934139142061,58891.6875
101,imine,6.450877872725344,60776.21875
102,imine,6.423982728258225,1256842.84375
103,imine,6.40931264945798,10678.53125
104,imine,6.173368882087353,67847.5625
105,imine,6.081069636302472,43005.28125
106,imine,6.0774021166024115,20810.15625
107,imine,6.074957103469036,10447.828125
108,imine,6.068233317352257,74793.953125
109,imine,6.039504413035108,33199.5
110,imine,6.034003133485016,43932.09375
