id,type,ppm,amplitude
0,aldehyde,9.96130547896757,118054.4375
0,imine,8.682563610212785,10056.5
1,imine,8.659335985445729,5461478.4375
2,imine,8.64588841321217,42868.9375
3,imine,8.643443400078795,10264.125
4,imine,8.61899326874505,253936.4375
5,imine,8.501021385059737,1724426.3125
6,imine,8.25285255202224,8325250.875
7,imine,8.237571219938651,10814.125
8,imine,8.227791167405154,10473.125
9,imine,8.199062263088006,31230.0
10,imine,8.181947171154384,7891807.125
11,imine,8.061530274335698,10426.125
12,imine,8.059085261202323,31380.75
13,imine,7.999793692717996,1759115.25
14,imine,7.9576172161672885,395547.4375
15,imine,7.824975253681729,2580576.0
16,imine,7.741233553863657,11434647.5625
17,imine,7.671550679562489,23112.75
18,imine,7.667271906579084,10147.6875
19,imine,7.6519905744954935,10249.875
20,imine,7.648323054795433,23562.625
21,imine,7.6458780416620575,31057.375
22,imine,7.631819216145156,222210.6875
23,imine,7.6104253512281295,220882.0625
24,imine,7.48267341500932,7551315.0625
25,imine,7.463724563225669,10075.0625
26,imine,7.453944510692172,10595.25
27,imine,7.418491820258244,10251.75
28,imine,7.416658060408213,10476.875
29,imine,7.414824300558181,20555.125
30,imine,7.411768034141464,105433.6875
31,imine,7.406266754591372,10139.6875
32,imine,7.404432994741341,32825.4375
33,imine,7.398931715191249,21460.9375
34,imine,7.395264195491186,21847.8125
35,imine,7.392819182357813,20841.1875
36,imine,7.390374169224438,58468.875
37,imine,7.254675940322161,11001194.9375
38,imine,7.239394608238572,11464.0
39,imine,6.719829317396521,1734693.625
40,imine,6.492443095992708,10050.0625
41,imine,6.478995523759148,181076.375
42,imine,6.473494244209056,45904.875
43,imine,6.457601658842122,115810.0625
44,imine,6.386085024690922,10659620.8125
45,imine,6.350632334256994,10198.6875
