id,type,ppm,amplitude
0,aldehyde,9.962527985534258,237586.4375
0,imine,8.735742645863677,10286.1875
1,imine,8.724740086763493,10155.375
2,imine,8.719850060496743,10045.8125
3,imine,8.716793794080026,20757.8125
4,imine,8.712515021096621,10156.5625
5,imine,8.710070007963246,55198.1875
6,imine,8.707624994829871,10023.25
7,imine,8.705179981696496,32101.625
8,imine,8.702123715279779,20349.4375
9,imine,8.63916462709539,4840991.4375
10,imine,8.585374338161152,43325.4375
11,imine,8.502243891626424,7066819.4375
