id,type,ppm,amplitude
0,aldehyde,10.006538221934996,391750.125
0,imine,8.793200454497974,222890.25
1,imine,8.78403165524782,253032.0
2,imine,8.740021418847082,5823248.5
3,imine,8.703346221846466,10496.3125
4,imine,8.702123715279779,10224.3125
5,imine,8.70028995542975,21416.75
6,imine,8.696622435729687,34471.25
7,imine,8.69356616931297,52813.9375
8,imine,8.654445959178979,221495.6875
9,imine,8.588430604577873,1508112.6875
10,imine,8.481461279992743,7990340.875
11,imine,8.320090413190037,7393569.0625
12,imine,8.190504717121197,127595.375
13,imine,8.185614690854447,22943.0625
14,imine,8.147105734003802,1786683.375
15,imine,7.888545595149462,18766556.75
16,imine,7.735732274313565,4372072.0
17,imine,7.686220758362734,183663.9375
18,imine,7.670939426279145,11143.625
19,imine,7.658103107328929,405670.125
20,imine,7.648934308078776,45940.875
21,imine,7.643433028528684,286340.5625
22,imine,7.623872923461689,265644.875
23,imine,7.606757831528069,234283.5
24,imine,7.60186780526132,35900.625
25,imine,7.593921512577853,35037.25
26,imine,7.589642739594448,35517.9375
27,imine,7.547466263043741,10119.25
28,imine,7.520571118576622,7167337.3125
29,imine,7.475338375609197,10077.9375
30,imine,7.473504615759166,20706.6875
31,imine,7.46739208292573,169150.3125
32,imine,7.434384405625177,686084.0
33,imine,7.422159339958305,65469.625
34,imine,7.4178805669749,171410.375
35,imine,7.410545527574777,21142.75
36,imine,7.408100514441402,10298.5625
37,imine,7.334138867156828,21262.5625
38,imine,7.332305107306797,21103.125
39,imine,7.292573643889464,10563368.125
40,imine,6.733276889630081,10954.1875
41,imine,6.719829317396521,671082.375
42,imine,6.69904670576284,521654.125
43,imine,6.560903463727189,22147.625
44,imine,6.550512157910348,236975.625
45,imine,6.547455891493629,23448.5625
46,imine,6.545010878360256,10726.3125
47,imine,6.539509598810164,311315.1875
48,imine,6.530952052843353,11671.1875
49,imine,6.519949493743169,121389.9375
50,imine,6.46738171137562,10295479.875
