id,type,ppm,amplitude
0,aldehyde,10.030377099985397,265050.875
0,imine,8.91850737758341,456881.28125
1,imine,8.906282311916538,756333.1875
2,imine,8.708236248113217,1197056.71875
3,imine,8.699067448863062,10287.1875
4,imine,8.584151831594468,220636.96875
5,imine,8.564591726527471,630748.34375
6,imine,8.545031621460478,381163.15625
7,imine,8.538307835343698,10438.65625
8,imine,8.536474075493668,34662.625
9,imine,8.471069974175904,300876.34375
10,imine,8.454566135525624,190711.46875
11,imine,8.370213182424212,22169.5625
12,imine,8.368990675857525,44849.8125
13,imine,8.365323156157462,10215.6875
14,imine,8.358599370040682,297488.375
15,imine,8.350653077357215,22215.5
16,imine,8.339039264973689,571044.21875
17,imine,8.31703414677332,1190036.59375
18,imine,8.295640281856294,3104482.0625
19,imine,8.237571219938651,20118.09375
20,imine,8.229624927255184,335636.0
21,imine,8.22167863457172,20604.4375
22,imine,8.216177355021628,20320.75
23,imine,8.212509835321566,137598.34375
24,imine,8.201507276221381,219946.9375
25,imine,8.190504717121197,10655.8125
26,imine,8.178279651454325,217928.4375
27,imine,8.169722105487512,10197.34375
28,imine,8.167888345637483,10373.09375
29,imine,8.16238706608739,155308.5
30,imine,8.15749703982064,11636.21875
31,imine,8.15566327997061,32683.78125
32,imine,8.152607013553894,31719.9375
33,imine,8.135491921620272,425610.0
34,imine,8.07375534000257,15458254.1875
35,imine,7.806637655181421,65560.25
36,imine,7.7993026157813,240179.4375
37,imine,7.789522563247801,55142.375
38,imine,7.7852437902643965,31641.0
39,imine,7.777908750864273,43294.3125
40,imine,7.759571152363965,45485.0
41,imine,7.718617182379945,10013.9375
42,imine,7.675829452545893,11262.71875
43,imine,7.648934308078776,23517.90625
44,imine,7.645266788378714,21079.09375
45,imine,7.637320495695248,11136.84375
46,imine,7.635486735845217,21852.90625
47,imine,7.631207962861812,119713.3125
48,imine,7.626929189878408,38162.34375
49,imine,7.6189828971949405,46274.6875
50,imine,7.614092870928192,21692.6875
51,imine,7.546855009760397,10709.40625
52,imine,7.530962424393464,831966.1875
53,imine,7.510791066043125,757316.375
54,imine,7.468614589492417,10186.8125
55,imine,7.45883453695892,493144.8125
56,imine,7.442330698308644,1568868.6875
57,imine,7.414824300558181,32583.8125
58,imine,7.411768034141464,10081.34375
59,imine,7.409323021008089,10986.1875
60,imine,7.405655501308028,10206.5
61,imine,7.3964867020578735,20991.0625
62,imine,7.393430435641156,10380.25
63,imine,7.385484142957689,41203.6875
64,imine,7.321302548206613,10363.03125
65,imine,7.318246281789896,44478.75
66,imine,6.870197625099045,837697.0625
67,imine,6.856750052865485,32087.34375
68,imine,6.653813962795414,22668.59375
69,imine,6.477773017192461,1179907.75
70,imine,6.1012409946528114,1164274.875
71,imine,6.070067077202288,10101.0
72,imine,6.06517705093554,20361.96875
