id,type,ppm,amplitude
0,aldehyde,10.932586946200534,10562.6875
1,aldehyde,10.894077989349885,21420.625
2,aldehyde,10.869627858016145,10013.4375
3,aldehyde,10.755934747314235,10835.875
4,aldehyde,10.752267227614173,10231.5625
5,aldehyde,10.747377201347426,10015.5625
6,aldehyde,10.728428349563774,10018.25
7,aldehyde,10.726594589713745,10251.0
8,aldehyde,10.498597115026584,10064.6875
9,aldehyde,10.497374608459896,10034.625
0,imine,8.725351340046835,90047.625
1,imine,8.623883295011801,469194.625
2,imine,8.611658229344929,32267.0625
3,imine,8.150773253703864,10120.75
