id,type,ppm,amplitude
0,aldehyde,9.960082972400883,287344.5
0,imine,8.705791234979841,698475.3125
1,imine,8.67828483722938,22076.875
2,imine,8.648333426345545,10100.875
3,imine,8.616548255611676,317110.6875
4,imine,8.596376897261337,910834.5
5,imine,8.582318071744435,10333.375
6,imine,8.57987305861106,20788.6875
7,imine,8.570093006077563,270976.75
8,imine,8.562146713394096,56665.25
9,imine,8.540752848477073,20625.0625
10,imine,8.538307835343698,10363.3125
11,imine,8.31031036065654,383619.8125
12,imine,8.289527749022856,640608.3125
13,imine,8.280970203056047,10097.375
14,imine,8.279136443206017,10132.4375
15,imine,8.158719546387328,10139.25
16,imine,8.133658161770242,9269552.9375
17,imine,7.908105700216457,145107.375
18,imine,7.901993167383021,45307.3125
19,imine,7.898936900966304,22880.625
20,imine,7.889768101716149,234219.0
21,imine,7.771796218030837,8646986.3125
22,imine,7.646489294945401,162931.5625
23,imine,7.639765508828622,25550.8125
24,imine,7.635486735845217,62434.125
25,imine,7.623872923461689,11259.6875
26,imine,7.614092870928192,162332.4375
27,imine,7.605535324961381,10670.25
28,imine,7.599422792127945,10155.9375
29,imine,7.5951440191445405,23676.0625
30,imine,7.576195167360889,10215.75
31,imine,7.567026368110736,10367.5625
32,imine,7.564581354977361,20622.375
33,imine,7.560302581993956,32107.0625
34,imine,7.557246315577237,34318.5
35,imine,7.546855009760397,10269.8125
36,imine,7.543798743343678,10141.625
37,imine,7.539519970360273,106043.1875
38,imine,7.5358524506602125,10053.375
39,imine,7.500399760226284,21521.3125
40,imine,7.379982863407597,57850.6875
41,imine,7.37692659699088,10275.0
42,imine,7.365924037890694,543234.9375
43,imine,7.353698972223822,20800.6875
44,imine,7.3457526795403565,447877.1875
45,imine,7.334750120440172,57619.4375
46,imine,7.324970067906674,92288.8125
47,imine,7.30724372268971,11268.0
48,imine,7.30540996283968,10448.0625
49,imine,6.447821606308625,603339.375
50,imine,6.215545358638061,627371.875
