id,type,ppm,amplitude
0,aldehyde,9.953970439567449,794334.25
0,imine,8.873885887899327,42468.25
1,imine,8.869607114915922,20712.75
2,imine,8.508356424459862,691448.75
3,imine,8.408722139274857,41660.25
4,imine,8.401998353158078,122245.25
5,imine,8.386105767791143,1152902.0
6,imine,8.348819317507186,90344.5
7,imine,8.342095531390406,10433.75
8,imine,8.340261771540376,11545.0
9,imine,8.338428011690343,21142.0
10,imine,8.333537985423597,30731.75
11,imine,8.330481719006876,10776.75
12,imine,8.125711869086775,20179.5
13,imine,8.118988082969995,22079.75
14,imine,8.095149204919597,2552479.75
15,imine,8.053583981652231,47313.0
16,imine,8.049305208668827,32999.5
17,imine,8.046860195535452,10048.0
18,imine,8.025466330618428,10650.5
19,imine,8.018742544501649,10634.0
20,imine,8.017520037934961,10104.25
21,imine,8.007739985401464,195057.5
22,imine,7.961284735867349,1485492.5
23,imine,7.751624859680498,12819475.25
24,imine,7.707614623279761,49131.5
25,imine,7.656880600762242,10160.0
26,imine,7.64465553509537,10445.5
27,imine,7.6428217752453405,10069.5
28,imine,7.597589032277914,10381.75
29,imine,7.595755272427884,10133.25
30,imine,7.5865864731777295,22807.0
31,imine,7.551745036027145,57976.25
32,imine,7.548077516327084,22999.5
33,imine,7.493675974109505,2133886.75
34,imine,7.474115869042509,467632.25
35,imine,7.038903531301876,20081.25
36,imine,7.027289718918346,20997.75
37,imine,7.023010945934941,11024.75
38,imine,7.018120919668193,33035.5
39,imine,7.014453399968132,31694.75
40,imine,7.00895212041804,10459.75
41,imine,6.747946968430328,112447.75
42,imine,6.72960936993002,1027248.25
