id,type,ppm,amplitude
0,imine,8.953960068017338,31749.0
1,imine,8.847601996715554,10309.375
2,imine,8.835376931048682,712063.8125
3,imine,8.752857737797296,162166.0625
4,imine,8.727185099896865,601924.125
5,imine,8.721683820346772,46209.4375
6,imine,8.71434878094665,202045.875
7,imine,8.68195235692944,11456.875
8,imine,8.675839824096006,10916.5
9,imine,8.662392251862446,87808.9375
10,imine,8.634885854111985,47604.0625
11,imine,8.628162067995206,427684.9375
12,imine,8.470458720892559,54755.25
13,imine,8.392829553907923,35243.25
14,imine,8.387939527641176,11137.3125
15,imine,8.374491955407617,835049.375
16,imine,8.279747696489359,81046.875
17,imine,8.248573779038836,86964.375
18,imine,8.168499598920828,20945.6875
19,imine,8.16422082593742,10089.3125
20,imine,8.153218266837236,456229.1875
21,imine,8.139159441320334,228215.625
22,imine,8.099427977903002,1375402.25
23,imine,8.052361475085544,147949.625
24,imine,8.03952515613533,246134.1875
25,imine,8.033412623301892,10095.5
26,imine,7.9930699066012165,1562652.25
27,imine,7.9099394600664885,3800265.0625
28,imine,7.8598166908323135,135795.8125
29,imine,7.831087786515165,1777475.625
30,imine,7.817640214281606,256226.875
31,imine,7.773018724597525,536290.875
32,imine,7.759571152363965,239370.0625
33,imine,7.7351210210302215,10627.375
34,imine,7.732676007896848,52863.75
35,imine,7.713727156113197,367917.625
36,imine,7.66666065329574,156284.8125
37,imine,7.663604386879022,10261.3125
38,imine,7.475338375609197,10571.3125
39,imine,7.337806386856889,287217.5625
40,imine,7.261399726438941,1073314.9375
41,imine,7.246729647638696,56294.625
42,imine,7.242450874655289,63885.5625
43,imine,7.132425283653444,556576.8125
44,imine,7.120200217986572,356968.3125
45,imine,6.851248773315393,10875.25
46,imine,6.846970000331988,74386.1875
47,imine,6.8408574674985525,10750.125
48,imine,6.839023707648521,20868.0625
49,imine,6.837189947798492,35209.9375
50,imine,6.7491694749970135,391487.25
51,imine,6.4099239027413235,125213.3125
52,imine,6.398921343641137,107551.5
53,imine,6.361023640073836,31125.25
54,imine,6.3451310547069015,839320.75
55,imine,6.230826690721652,20500.9375
56,imine,6.2289929308716205,10612.8125
57,imine,6.227159171021589,21668.5
58,imine,6.222880398038185,10148.875
59,imine,6.2027090396878455,10227.75
60,imine,6.173368882087353,1816295.8125
61,imine,6.092683448686,129388.5625
62,imine,6.0780133698857535,32657.1875
63,imine,6.069455823918944,606954.75
