id,type,ppm,amplitude
0,aldehyde,9.951525426434074,390272.4375
0,imine,8.501632638343082,1792509.0625
1,imine,8.381826994807739,2303333.125
2,imine,8.344540544523781,10121.625
3,imine,8.342095531390406,10450.3125
4,imine,8.088425418802817,2694419.0
5,imine,8.047471448818797,10082.375
6,imine,8.01446377151824,22392.5625
7,imine,8.005906225551431,832120.0
8,imine,7.974121054817565,72948.75
9,imine,7.970453535117504,10057.5625
10,imine,7.967397268700785,32727.1875
11,imine,7.961284735867349,10846.1875
12,imine,7.9515046833338525,10314.375
13,imine,7.74490107356372,17457438.1875
14,imine,7.658103107328929,10260.125
15,imine,7.647711801512089,371416.1875
16,imine,7.638543002261934,10238.875
17,imine,7.62570668331172,319107.3125
18,imine,7.620205403761628,21371.375
19,imine,7.617149137344909,54303.4375
20,imine,7.587197726461073,148318.1875
21,imine,7.515681092309873,4486210.625
22,imine,7.43682941875855,454339.4375
23,imine,7.422159339958305,49796.375
24,imine,7.4178805669749,44649.8125
25,imine,7.4111567808581205,351659.5
26,imine,7.397709208624561,63457.5625
27,imine,7.393430435641156,32490.8125
28,imine,7.3873179028077205,42936.9375
29,imine,7.356755238640541,303058.75
30,imine,7.348808945957074,20999.75
31,imine,7.338417640140233,10480.0
32,imine,7.326803827756705,10455.125
33,imine,7.241839621371946,10209.5625
34,imine,7.032179745185096,119801.375
35,imine,7.023622199218285,30379.625
36,imine,7.016898413101505,115034.125
37,imine,7.010785880268069,10542.375
38,imine,7.009563373701382,56203.5625
39,imine,7.002839587584604,119603.0625
40,imine,6.990614521917732,22394.25
41,imine,6.988169508784357,32628.9375
42,imine,6.983890735800952,10003.625
43,imine,6.976555696400829,21705.9375
44,imine,6.968609403717362,10109.0
45,imine,6.728998116646676,3006236.625
46,imine,6.687432893379312,21206.4375
