id,type,ppm,amplitude
0,imine,8.722295073630118,418493.0
1,imine,8.672172304395943,870359.5
2,imine,8.50285514490977,1890219.375
3,imine,8.251630045455553,10286.125
4,imine,8.147105734003802,382517.0
5,imine,8.081701632686038,428242.75
6,imine,8.059085261202323,1924876.125
7,imine,7.979011081084313,2472039.375
8,imine,7.967397268700785,10142.375
9,imine,7.931944578266857,10071.875
10,imine,7.930110818416826,21944.875
11,imine,7.908105700216457,392761.625
12,imine,7.893435621416212,21582.25
13,imine,7.871430503215842,870705.125
14,imine,7.826197760248417,2086485.75
15,imine,7.801136375631329,536291.125
16,imine,7.727174728346756,12038866.875
17,imine,7.653824334345525,43219.375
18,imine,7.644044281812028,22097.125
19,imine,7.611647857794817,1541541.125
20,imine,7.575583914077545,435604.75
21,imine,7.559080075427269,20792.625
22,imine,7.5535787958771765,22090.625
23,imine,7.548077516327084,312110.75
24,imine,7.4942872273928485,4569339.125
25,imine,7.469837096059105,21854.75
26,imine,7.46739208292573,42284.25
27,imine,7.45883453695892,10826.375
28,imine,7.3310826007401095,10444.375
29,imine,7.326803827756705,480370.625
30,imine,7.316412521939864,62682.375
31,imine,7.30540996283968,610943.125
32,imine,7.296852416872869,10117.25
33,imine,7.062742409352274,10633.375
34,imine,7.056018623235496,324105.25
35,imine,7.036458518168501,355067.25
36,imine,6.76383955379726,155156.0
37,imine,6.758949527530512,45140.375
38,imine,6.756504514397137,21263.875
39,imine,6.723496837096584,3437732.75
40,imine,6.529729546276665,465413.0
41,imine,6.5083356813596405,456587.0
42,imine,6.4844968033092405,508637.125
43,imine,6.463102938392214,486721.5
