id,type,ppm,amplitude
0,aldehyde,9.985755610301315,389254.3125
0,imine,8.707013741546529,56182.875
1,imine,8.683786116779473,5141575.8125
2,imine,8.66850478469588,33701.0625
3,imine,8.643443400078795,749586.6875
4,imine,8.565202979810817,291728.1875
5,imine,8.533417809076948,1816546.5625
6,imine,8.277302683355984,7878856.25
7,imine,8.207008555771473,7537256.5
8,imine,8.104929257453094,168889.8125
9,imine,8.0853691523861,209124.5
10,imine,8.02607758390177,1776634.4375
11,imine,7.985123613917749,779035.75
12,imine,7.917885752749956,249921.125
13,imine,7.911161966633176,10193.25
14,imine,7.909328206783145,31793.75
15,imine,7.768128698330776,14371264.625
16,imine,7.696612064179576,77507.1875
17,imine,7.692944544479514,43684.75
18,imine,7.689888278062797,23003.9375
19,imine,7.675829452545893,188630.1875
20,imine,7.655658094195556,92312.125
21,imine,7.650156814645464,57510.3125
22,imine,7.634264229278529,63687.9375
23,imine,7.507123546343064,6792675.875
24,imine,7.450888244275453,20346.875
25,imine,7.435606912191864,920436.1875
26,imine,7.319468788356581,10150.0625
27,imine,7.279126071655905,10379435.6875
28,imine,6.745501955296953,691149.0625
29,imine,6.724108090379928,595653.6875
30,imine,6.717995557546492,10550.125
31,imine,6.5217832535932,11075.375
32,imine,6.520560747026512,20663.0625
33,imine,6.51505946747642,124061.5625
34,imine,6.500389388676173,200691.125
35,imine,6.494888109126081,35644.875
36,imine,6.4105351560246655,10016783.0625
37,imine,6.376916225440769,10152.375
