id,type,ppm,amplitude
0,imine,8.87938716744942,54781.3125
1,imine,8.866550848499205,287449.625
2,imine,8.571926765927596,708856.96875
3,imine,8.488796319392868,34814.125
4,imine,8.469236214325871,308603.6875
5,imine,8.453343628958937,21592.75
6,imine,8.449676109258878,89922.34375
7,imine,8.249185032322181,143155.4375
8,imine,8.233903700238589,792365.0625
9,imine,8.21495484845494,215195.125
10,imine,8.19845100980466,463511.5625
11,imine,8.178890904737667,850572.375
12,imine,8.070087820302508,45919.09375
13,imine,8.03952515613533,65673.59375
14,imine,8.027300090468458,121017.15625
15,imine,8.01935379778499,193134.875
16,imine,8.005906225551431,1974192.125
17,imine,7.977177321234282,31382.09375
18,imine,7.921553272450017,4283479.375
19,imine,7.812750188014857,905279.5625
20,imine,7.797468855931268,37822.03125
21,imine,7.795023842797893,23123.9375
22,imine,7.766906191764089,542222.78125
23,imine,7.747346086697093,770443.21875
24,imine,7.708225876563104,3411851.3125
25,imine,7.631207962861812,41723.875
26,imine,7.62081665704497,271272.15625
27,imine,7.611647857794817,56750.875
28,imine,7.6085915913781,138898.9375
29,imine,7.6012565519779765,21439.125
30,imine,7.600034045411289,10185.40625
31,imine,7.590253992877792,22178.28125
32,imine,7.562136341843986,10007.09375
33,imine,7.526683651410058,10145.6875
34,imine,7.522404878426653,76492.0
35,imine,7.502233520076314,74748.3125
36,imine,7.439274431891925,2193588.28125
37,imine,7.401376728324622,81370.96875
38,imine,7.398931715191249,41340.65625
39,imine,7.3964867020578735,10157.28125
40,imine,7.344530172973669,175998.40625
41,imine,7.312133748956458,2018063.0
42,imine,7.279126071655905,10891.96875
43,imine,7.27668105852253,33940.34375
44,imine,7.272402285539125,24086.0
45,imine,7.269346019122408,184299.90625
46,imine,7.260177219872253,44738.09375
47,imine,7.249174660772069,408004.8125
48,imine,7.2387833549552285,24048.0625
49,imine,7.236338341821853,52590.84375
50,imine,7.232059568838449,42480.34375
51,imine,7.224724529438325,180891.8125
52,imine,7.218611996604889,34536.78125
53,imine,7.21677823675486,31819.53125
54,imine,7.214333223621485,20857.5
55,imine,7.2063869309380175,20956.03125
56,imine,7.189883092287741,32317.53125
57,imine,6.571294769544029,819598.4375
58,imine,6.480218030325836,1587270.21875
59,imine,6.455767898992092,11106.3125
60,imine,6.453322885858717,42410.9375
61,imine,6.447821606308625,64086.1875
62,imine,6.028501853934924,81377.625
63,imine,6.023611827668176,98875.5625
