id,type,ppm,amplitude
0,aldehyde,9.9631392388176,211686.0
0,imine,8.833543171198649,20810.0
1,imine,8.778530375697727,10126.75
2,imine,8.77364034943098,10076.25
3,imine,8.765082803464168,11281.75
4,imine,8.763249043614138,21820.25
5,imine,8.760804030480763,91272.25
6,imine,8.7094587546799,9070832.25
7,imine,8.622660788445113,267232.25
8,imine,8.519358983560046,537893.75
9,imine,8.369601929140867,11064.0
10,imine,8.35798811675734,10393.25
11,imine,8.356154356907307,23714.5
12,imine,8.347596810940498,11369.5
13,imine,8.345763051090469,20585.0
14,imine,8.343929291240435,10246.75
15,imine,8.342095531390406,80243.25
16,imine,8.336594251840314,10504.5
17,imine,8.330481719006876,122488.75
18,imine,8.256520071722303,10697988.5
19,imine,8.227791167405154,57923.5
20,imine,8.203952289354753,8213005.5
21,imine,8.009573745251494,426644.5
22,imine,7.966174762134098,91289.5
23,imine,7.960062229300662,46161.25
24,imine,7.848202878448785,21728.25
25,imine,7.760793658930653,11163546.25
26,imine,7.719228435663289,21289.0
27,imine,7.717394675813257,45073.75
28,imine,7.710670889696478,22890.75
29,imine,7.705780863429729,72404.5
30,imine,7.557246315577237,10156.0
31,imine,7.545632503193709,21630.25
32,imine,7.541964983493648,38223.5
33,imine,7.501622266792972,9175818.0
34,imine,7.343918919690325,46777.5
35,imine,7.340862653273608,91736.25
36,imine,7.27668105852253,17071267.5
37,imine,6.70088046561287,10589.25
38,imine,6.481440536892522,20436.25
39,imine,6.470437977792337,10138.5
40,imine,6.45699040555878,106986.0
41,imine,6.453934139142061,23630.25
42,imine,6.4190927019914765,16737745.75
