id,type,ppm,amplitude
0,imine,8.707624994829871,1127745.4375
1,imine,8.667282278129193,985206.875
2,imine,8.501632638343082,3681144.5625
3,imine,8.134269415053584,1179753.75
4,imine,8.060307767769011,4733184.5
5,imine,8.046860195535452,10554.6875
6,imine,7.980844840934345,4130632.5625
7,imine,7.915440739616581,10321.8125
8,imine,7.905660687083082,59589.5
9,imine,7.897103141116273,103933.625
10,imine,7.887934341866118,89999.25
11,imine,7.867151730232437,590083.1875
12,imine,7.85737167769894,21695.8125
13,imine,7.705780863429729,25340294.125
14,imine,7.6605481204623045,21317.9375
15,imine,7.611647857794817,2268284.875
16,imine,7.574972660794201,33765.375
17,imine,7.497954747092909,7850472.5625
18,imine,7.302964949706305,2446654.4375
19,imine,6.82496488213162,153554.9375
20,imine,6.820686109148213,10192.4375
21,imine,6.804182270497937,158243.625
22,imine,6.773619606330757,49694.25
23,imine,6.756504514397137,11319.0625
24,imine,6.732054383063393,4947493.6875
25,imine,6.527895786426636,903124.4375
26,imine,6.505890668226265,781634.875
27,imine,6.499166882109486,34025.25
28,imine,6.478384270475805,2284362.3125
